# time cluster_size count
50000.000000 1 1
50000.000000 599 1
100000.000000 1 6
100000.000000 2 2
100000.000000 590 1
150000.000000 1 12
150000.000000 4 1
150000.000000 584 1
200000.000000 1 12
200000.000000 2 1
200000.000000 10 1
200000.000000 576 1
250000.000000 1 12
250000.000000 2 2
250000.000000 3 1
250000.000000 5 1
250000.000000 576 1
300000.000000 1 18
300000.000000 3 3
300000.000000 4 1
300000.000000 569 1
350000.000000 1 24
350000.000000 2 3
350000.000000 3 2
350000.000000 4 1
350000.000000 560 1
400000.000000 1 27
400000.000000 2 2
400000.000000 3 1
400000.000000 566 1
450000.000000 1 24
450000.000000 2 1
450000.000000 574 1
500000.000000 1 19
500000.000000 2 4
500000.000000 3 2
500000.000000 567 1
550000.000000 1 29
550000.000000 2 6
550000.000000 3 1
550000.000000 556 1
600000.000000 1 31
600000.000000 2 5
600000.000000 3 1
600000.000000 556 1
650000.000000 1 27
650000.000000 2 5
650000.000000 3 2
650000.000000 4 1
650000.000000 6 1
650000.000000 547 1
700000.000000 1 29
700000.000000 2 4
700000.000000 3 2
700000.000000 7 1
700000.000000 550 1
750000.000000 1 36
750000.000000 2 3
750000.000000 3 1
750000.000000 6 1
750000.000000 549 1
800000.000000 1 35
800000.000000 2 5
800000.000000 3 1
800000.000000 7 1
800000.000000 545 1
850000.000000 1 31
850000.000000 2 3
850000.000000 3 2
850000.000000 4 1
850000.000000 553 1
900000.000000 1 40
900000.000000 2 5
900000.000000 3 1
900000.000000 7 1
900000.000000 540 1
950000.000000 1 34
950000.000000 2 3
950000.000000 3 2
950000.000000 4 1
950000.000000 550 1
1000000.000000 1 34
1000000.000000 2 4
1000000.000000 3 1
1000000.000000 4 1
1000000.000000 551 1
1050000.000000 1 39
1050000.000000 2 1
1050000.000000 5 1
1050000.000000 6 1
1050000.000000 548 1
1100000.000000 1 34
1100000.000000 2 8
1100000.000000 4 1
1100000.000000 6 1
1100000.000000 540 1
1150000.000000 1 29
1150000.000000 2 6
1150000.000000 3 3
1150000.000000 550 1
1200000.000000 1 33
1200000.000000 2 6
1200000.000000 3 1
1200000.000000 552 1
1250000.000000 1 24
1250000.000000 2 6
1250000.000000 4 1
1250000.000000 9 1
1250000.000000 551 1
1300000.000000 1 17
1300000.000000 2 6
1300000.000000 3 1
1300000.000000 5 2
1300000.000000 165 1
1300000.000000 393 1
1350000.000000 1 26
1350000.000000 2 5
1350000.000000 5 1
1350000.000000 7 1
1350000.000000 169 1
1350000.000000 383 1
1400000.000000 1 32
1400000.000000 2 3
1400000.000000 3 1
1400000.000000 5 2
1400000.000000 169 1
1400000.000000 380 1
1450000.000000 1 30
1450000.000000 2 6
1450000.000000 3 2
1450000.000000 168 1
1450000.000000 384 1
1500000.000000 1 33
1500000.000000 2 8
1500000.000000 170 1
1500000.000000 381 1
1550000.000000 1 35
1550000.000000 2 10
1550000.000000 3 3
1550000.000000 160 1
1550000.000000 376 1
1600000.000000 1 37
1600000.000000 2 3
1600000.000000 3 1
1600000.000000 4 1
1600000.000000 550 1
1650000.000000 1 35
1650000.000000 2 7
1650000.000000 3 1
1650000.000000 4 1
1650000.000000 544 1
1700000.000000 1 39
1700000.000000 2 5
1700000.000000 3 1
1700000.000000 5 1
1700000.000000 168 1
1700000.000000 375 1
1750000.000000 1 28
1750000.000000 2 4
1750000.000000 3 1
1750000.000000 4 1
1750000.000000 5 1
1750000.000000 7 1
1750000.000000 162 1
1750000.000000 383 1
1800000.000000 1 32
1800000.000000 2 7
1800000.000000 3 1
1800000.000000 4 2
1800000.000000 543 1
1850000.000000 1 36
1850000.000000 2 6
1850000.000000 3 2
1850000.000000 4 1
1850000.000000 166 1
1850000.000000 376 1
1900000.000000 1 35
1900000.000000 2 7
1900000.000000 3 1
1900000.000000 4 3
1900000.000000 5 1
1900000.000000 160 1
1900000.000000 371 1
1950000.000000 1 42
1950000.000000 2 7
1950000.000000 3 3
1950000.000000 4 1
1950000.000000 5 1
1950000.000000 159 1
1950000.000000 367 1
2000000.000000 1 40
2000000.000000 2 3
2000000.000000 3 3
2000000.000000 4 3
2000000.000000 533 1
2050000.000000 1 43
2050000.000000 2 9
2050000.000000 3 2
2050000.000000 4 1
2050000.000000 8 1
2050000.000000 152 1
2050000.000000 369 1
2100000.000000 1 43
2100000.000000 2 7
2100000.000000 3 2
2100000.000000 163 1
2100000.000000 374 1
2150000.000000 1 45
2150000.000000 2 13
2150000.000000 3 1
2150000.000000 157 1
2150000.000000 369 1
2200000.000000 1 46
2200000.000000 2 7
2200000.000000 3 1
2200000.000000 7 1
2200000.000000 161 1
2200000.000000 369 1
2250000.000000 1 49
2250000.000000 2 7
2250000.000000 3 3
2250000.000000 4 1
2250000.000000 150 1
2250000.000000 374 1
2300000.000000 1 44
2300000.000000 2 9
2300000.000000 3 1
2300000.000000 4 1
2300000.000000 160 1
2300000.000000 371 1
2350000.000000 1 45
2350000.000000 2 8
2350000.000000 3 2
2350000.000000 158 1
2350000.000000 375 1
2400000.000000 1 43
2400000.000000 2 8
2400000.000000 3 1
2400000.000000 157 1
2400000.000000 381 1
2450000.000000 1 35
2450000.000000 2 8
2450000.000000 4 1
2450000.000000 158 1
2450000.000000 387 1
2500000.000000 1 28
