# time mean_cluster_size
50000.000000 75.0000000000
100000.000000 24.0000000000
150000.000000 28.5714285714
200000.000000 20.0000000000
250000.000000 21.4285714286
300000.000000 16.2162162162
350000.000000 15.7894736842
400000.000000 21.4285714286
450000.000000 13.6363636364
500000.000000 16.2162162162
550000.000000 15.3846153846
600000.000000 15.0000000000
650000.000000 16.6666666667
700000.000000 15.7894736842
750000.000000 15.7894736842
800000.000000 15.3846153846
850000.000000 16.2162162162
900000.000000 14.6341463415
950000.000000 13.9534883721
1000000.000000 12.0000000000
1050000.000000 12.0000000000
1100000.000000 14.6341463415
1150000.000000 10.7142857143
1200000.000000 13.3333333333
1250000.000000 14.6341463415
1300000.000000 13.6363636364
1350000.000000 13.3333333333
1400000.000000 13.0434782609
1450000.000000 12.7659574468
1500000.000000 13.0434782609
1550000.000000 11.7647058824
1600000.000000 12.5000000000
1650000.000000 13.6363636364
1700000.000000 13.3333333333
1750000.000000 11.5384615385
1800000.000000 15.0000000000
1850000.000000 11.5384615385
1900000.000000 13.3333333333
1950000.000000 12.5000000000
2000000.000000 15.0000000000
2050000.000000 11.7647058824
2100000.000000 12.7659574468
2150000.000000 13.6363636364
2200000.000000 13.0434782609
2250000.000000 13.3333333333
2300000.000000 12.7659574468
2350000.000000 12.2448979592
2400000.000000 12.7659574468
2450000.000000 11.3207547170
2500000.000000 10.5263157895
2550000.000000 12.7659574468
2600000.000000 13.3333333333
2650000.000000 12.0000000000
2700000.000000 11.7647058824
2750000.000000 11.1111111111
2800000.000000 10.7142857143
2850000.000000 12.0000000000
2900000.000000 13.3333333333
2950000.000000 11.7647058824
3000000.000000 11.3207547170
3050000.000000 11.3207547170
3100000.000000 11.5384615385
3150000.000000 11.1111111111
3200000.000000 11.3207547170
3250000.000000 11.3207547170
3300000.000000 12.7659574468
3350000.000000 13.6363636364
3400000.000000 12.5000000000
3450000.000000 10.9090909091
3500000.000000 12.7659574468
3550000.000000 11.7647058824
3600000.000000 11.3207547170
3650000.000000 13.0434782609
3700000.000000 13.0434782609
3750000.000000 13.6363636364
3800000.000000 12.5000000000
3850000.000000 12.2448979592
3900000.000000 13.0434782609
3950000.000000 13.6363636364
4000000.000000 13.3333333333
4050000.000000 12.7659574468
4100000.000000 11.1111111111
4150000.000000 12.2448979592
4200000.000000 11.1111111111
4250000.000000 11.3207547170
4300000.000000 10.0000000000
4350000.000000 11.1111111111
4400000.000000 10.5263157895
4450000.000000 10.5263157895
4500000.000000 11.1111111111
4550000.000000 10.9090909091
4600000.000000 10.5263157895
4650000.000000 10.7142857143
4700000.000000 10.9090909091
4750000.000000 10.1694915254
4800000.000000 12.0000000000
4850000.000000 13.9534883721
4900000.000000 12.5000000000
4950000.000000 11.7647058824
