Frame,Num_Receptors,LargestClusterSize,Fraction
0,200,40,0.2
1,200,91,0.455
2,200,85,0.425
3,200,80,0.4
4,200,86,0.43
5,200,91,0.455
6,200,100,0.5
7,200,140,0.7
8,200,158,0.79
9,200,150,0.75
10,200,152,0.76
11,200,148,0.74
12,200,132,0.66
13,200,147,0.735
14,200,153,0.765
15,200,155,0.775
16,200,149,0.745
17,200,157,0.785
18,200,149,0.745
19,200,148,0.74
20,200,148,0.74
21,200,146,0.73
22,200,152,0.76
23,200,157,0.785
24,200,161,0.805
25,200,169,0.845
26,200,161,0.805
27,200,142,0.71
28,200,138,0.69
29,200,141,0.705
30,200,144,0.72
31,200,148,0.74
32,200,158,0.79
33,200,156,0.78
34,200,147,0.735
35,200,148,0.74
36,200,158,0.79
37,200,154,0.77
38,200,157,0.785
39,200,155,0.775
40,200,154,0.77
41,200,157,0.785
42,200,153,0.765
43,200,159,0.795
44,200,149,0.745
45,200,159,0.795
46,200,144,0.72
47,200,151,0.755
48,200,149,0.745
49,200,150,0.75
50,200,150,0.75
51,200,138,0.69
52,200,142,0.71
53,200,148,0.74
54,200,153,0.765
55,200,153,0.765
56,200,159,0.795
57,200,157,0.785
58,200,144,0.72
59,200,138,0.69
60,200,151,0.755
61,200,159,0.795
62,200,155,0.775
63,200,157,0.785
64,200,156,0.78
65,200,148,0.74
66,200,149,0.745
67,200,152,0.76
68,200,164,0.82
69,200,157,0.785
70,200,152,0.76
71,200,155,0.775
72,200,156,0.78
73,200,152,0.76
74,200,157,0.785
75,200,149,0.745
76,200,156,0.78
77,200,155,0.775
78,200,150,0.75
79,200,157,0.785
80,200,157,0.785
81,200,154,0.77
82,200,167,0.835
83,200,171,0.855
84,200,155,0.775
85,200,165,0.825
86,200,158,0.79
87,200,150,0.75
88,200,160,0.8
89,200,154,0.77
90,200,153,0.765
91,200,160,0.8
92,200,164,0.82
93,200,162,0.81
94,200,160,0.8
95,200,162,0.81
96,200,160,0.8
97,200,148,0.74
98,200,153,0.765
99,200,150,0.75
100,200,157,0.785
101,200,154,0.77
102,200,158,0.79
103,200,155,0.775
104,200,145,0.725
105,200,155,0.775
106,200,165,0.825
107,200,174,0.87
108,200,164,0.82
109,200,147,0.735
110,200,142,0.71
111,200,136,0.68
112,200,147,0.735
113,200,157,0.785
114,200,152,0.76
115,200,165,0.825
116,200,153,0.765
117,200,159,0.795
118,200,151,0.755
119,200,155,0.775
120,200,156,0.78
121,200,166,0.83
122,200,159,0.795
123,200,161,0.805
124,200,154,0.77
125,200,142,0.71
126,200,143,0.715
127,200,151,0.755
128,200,148,0.74
129,200,162,0.81
130,200,147,0.735
131,200,155,0.775
132,200,148,0.74
133,200,150,0.75
134,200,156,0.78
135,200,153,0.765
136,200,157,0.785
137,200,144,0.72
138,200,142,0.71
139,200,148,0.74
140,200,150,0.75
141,200,156,0.78
142,200,155,0.775
143,200,139,0.695
144,200,145,0.725
145,200,150,0.75
146,200,156,0.78
147,200,136,0.68
148,200,145,0.725
149,200,139,0.695
150,200,149,0.745
151,200,155,0.775
152,200,156,0.78
153,200,155,0.775
154,200,153,0.765
155,200,148,0.74
156,200,145,0.725
157,200,136,0.68
158,200,143,0.715
159,200,141,0.705
160,200,145,0.725
161,200,143,0.715
162,200,149,0.745
163,200,153,0.765
164,200,137,0.685
165,200,144,0.72
166,200,128,0.64
167,200,153,0.765
168,200,154,0.77
169,200,152,0.76
170,200,154,0.77
171,200,150,0.75
172,200,143,0.715
173,200,153,0.765
174,200,146,0.73
175,200,149,0.745
176,200,144,0.72
177,200,148,0.74
178,200,157,0.785
179,200,146,0.73
180,200,148,0.74
181,200,150,0.75
182,200,151,0.755
183,200,155,0.775
184,200,162,0.81
185,200,151,0.755
186,200,150,0.75
187,200,148,0.74
188,200,145,0.725
189,200,140,0.7
190,200,140,0.7
191,200,134,0.67
192,200,140,0.7
193,200,149,0.745
194,200,152,0.76
195,200,136,0.68
196,200,158,0.79
197,200,148,0.74
198,200,146,0.73
199,200,142,0.71
200,200,139,0.695
201,200,156,0.78
202,200,153,0.765
203,200,154,0.77
204,200,156,0.78
205,200,154,0.77
206,200,162,0.81
207,200,155,0.775
208,200,146,0.73
209,200,151,0.755
210,200,151,0.755
211,200,142,0.71
212,200,157,0.785
213,200,148,0.74
214,200,153,0.765
215,200,145,0.725
216,200,160,0.8
217,200,162,0.81
218,200,154,0.77
219,200,166,0.83
220,200,167,0.835
221,200,154,0.77
222,200,156,0.78
