Frame,Num_Receptors,Receptors_in_Cluster,Total_Receptors,Fraction_Receptors
0,200,189,200,0.945
1,200,165,200,0.825
2,200,154,200,0.77
3,200,148,200,0.74
4,200,144,200,0.72
5,200,146,200,0.73
6,200,145,200,0.725
7,200,137,200,0.685
8,200,150,200,0.75
9,200,141,200,0.705
10,200,145,200,0.725
11,200,145,200,0.725
12,200,132,200,0.66
13,200,144,200,0.72
14,200,147,200,0.735
15,200,151,200,0.755
16,200,144,200,0.72
17,200,152,200,0.76
18,200,148,200,0.74
19,200,145,200,0.725
20,200,145,200,0.725
21,200,140,200,0.7
22,200,149,200,0.745
23,200,152,200,0.76
24,200,158,200,0.79
25,200,165,200,0.825
26,200,148,200,0.74
27,200,141,200,0.705
28,200,134,200,0.67
29,200,134,200,0.67
30,200,139,200,0.695
31,200,143,200,0.715
32,200,151,200,0.755
33,200,147,200,0.735
34,200,141,200,0.705
35,200,146,200,0.73
36,200,154,200,0.77
37,200,150,200,0.75
38,200,146,200,0.73
39,200,148,200,0.74
40,200,147,200,0.735
41,200,151,200,0.755
42,200,152,200,0.76
43,200,151,200,0.755
44,200,145,200,0.725
45,200,155,200,0.775
46,200,146,200,0.73
47,200,141,200,0.705
48,200,145,200,0.725
49,200,144,200,0.72
50,200,145,200,0.725
51,200,134,200,0.67
52,200,142,200,0.71
53,200,141,200,0.705
54,200,148,200,0.74
55,200,150,200,0.75
56,200,156,200,0.78
57,200,150,200,0.75
58,200,140,200,0.7
59,200,130,200,0.65
60,200,143,200,0.715
61,200,149,200,0.745
62,200,153,200,0.765
63,200,148,200,0.74
64,200,149,200,0.745
65,200,141,200,0.705
66,200,148,200,0.74
67,200,150,200,0.75
68,200,161,200,0.805
69,200,153,200,0.765
70,200,149,200,0.745
71,200,144,200,0.72
72,200,146,200,0.73
73,200,142,200,0.71
74,200,152,200,0.76
75,200,146,200,0.73
76,200,145,200,0.725
77,200,148,200,0.74
78,200,150,200,0.75
79,200,149,200,0.745
80,200,150,200,0.75
81,200,148,200,0.74
82,200,163,200,0.815
83,200,167,200,0.835
84,200,153,200,0.765
85,200,161,200,0.805
86,200,150,200,0.75
87,200,143,200,0.715
88,200,152,200,0.76
89,200,150,200,0.75
90,200,142,200,0.71
91,200,156,200,0.78
92,200,157,200,0.785
93,200,154,200,0.77
94,200,156,200,0.78
95,200,160,200,0.8
96,200,156,200,0.78
97,200,144,200,0.72
98,200,144,200,0.72
99,200,150,200,0.75
100,200,151,200,0.755
101,200,152,200,0.76
102,200,155,200,0.775
103,200,144,200,0.72
104,200,142,200,0.71
105,200,149,200,0.745
106,200,160,200,0.8
107,200,168,200,0.84
108,200,157,200,0.785
109,200,143,200,0.715
110,200,135,200,0.675
111,200,127,200,0.635
112,200,136,200,0.68
113,200,147,200,0.735
114,200,140,200,0.7
115,200,159,200,0.795
116,200,149,200,0.745
117,200,154,200,0.77
118,200,147,200,0.735
119,200,143,200,0.715
120,200,154,200,0.77
121,200,162,200,0.81
122,200,154,200,0.77
123,200,153,200,0.765
124,200,151,200,0.755
125,200,141,200,0.705
126,200,137,200,0.685
127,200,147,200,0.735
128,200,145,200,0.725
129,200,156,200,0.78
130,200,149,200,0.745
131,200,148,200,0.74
132,200,138,200,0.69
133,200,142,200,0.71
134,200,149,200,0.745
135,200,147,200,0.735
136,200,152,200,0.76
137,200,138,200,0.69
138,200,133,200,0.665
139,200,139,200,0.695
140,200,145,200,0.725
141,200,146,200,0.73
142,200,148,200,0.74
143,200,132,200,0.66
144,200,137,200,0.685
145,200,143,200,0.715
146,200,144,200,0.72
147,200,136,200,0.68
148,200,139,200,0.695
149,200,133,200,0.665
150,200,144,200,0.72
151,200,146,200,0.73
152,200,155,200,0.775
153,200,148,200,0.74
154,200,146,200,0.73
155,200,144,200,0.72
156,200,137,200,0.685
157,200,130,200,0.65
158,200,137,200,0.685
159,200,136,200,0.68
160,200,147,200,0.735
161,200,141,200,0.705
162,200,143,200,0.715
163,200,149,200,0.745
164,200,130,200,0.65
165,200,137,200,0.685
166,200,129,200,0.645
167,200,147,200,0.735
168,200,146,200,0.73
169,200,150,200,0.75
170,200,149,200,0.745
171,200,144,200,0.72
172,200,136,200,0.68
173,200,143,200,0.715
174,200,141,200,0.705
175,200,144,200,0.72
176,200,137,200,0.685
177,200,140,200,0.7
178,200,148,200,0.74
179,200,139,200,0.695
180,200,142,200,0.71
181,200,142,200,0.71
182,200,141,200,0.705
183,200,153,200,0.765
184,200,152,200,0.76
185,200,153,200,0.765
186,200,143,200,0.715
187,200,143,200,0.715
188,200,139,200,0.695
189,200,134,200,0.67
190,200,138,200,0.69
191,200,131,200,0.655
192,200,137,200,0.685
193,200,144,200,0.72
194,200,149,200,0.745
195,200,130,200,0.65
196,200,149,200,0.745
197,200,139,200,0.695
198,200,144,200,0.72
199,200,137,200,0.685
200,200,137,200,0.685
201,200,150,200,0.75
202,200,146,200,0.73
203,200,144,200,0.72
204,200,150,200,0.75
205,200,154,200,0.77
206,200,151,200,0.755
207,200,151,200,0.755
208,200,144,200,0.72
209,200,143,200,0.715
210,200,146,200,0.73
211,200,138,200,0.69
212,200,149,200,0.745
213,200,147,200,0.735
214,200,144,200,0.72
215,200,141,200,0.705
216,200,154,200,0.77
217,200,155,200,0.775
218,200,146,200,0.73
219,200,159,200,0.795
220,200,160,200,0.8
221,200,151,200,0.755
222,200,152,200,0.76
223,200,158,200,0.79
224,200,147,200,0.735
225,200,152,200,0.76
226,200,152,200,0.76
227,200,144,200,0.72
228,200,149,200,0.745
229,200,157,200,0.785
230,200,162,200,0.81
231,200,148,200,0.74
232,200,145,200,0.725
