Frame,Num_Receptors,LargestClusterSize,Fraction
0,50,36,0.72
1,50,45,0.9
2,50,34,0.68
3,50,34,0.68
4,50,36,0.72
5,50,36,0.72
6,50,36,0.72
7,50,38,0.76
8,50,29,0.58
9,50,30,0.6
10,50,26,0.52
11,50,34,0.68
12,50,36,0.72
13,50,41,0.82
14,50,35,0.7
15,50,36,0.72
16,50,37,0.74
17,50,41,0.82
18,50,34,0.68
19,50,26,0.52
20,50,28,0.56
21,50,30,0.6
22,50,30,0.6
23,50,31,0.62
24,50,30,0.6
25,50,31,0.62
26,50,39,0.78
27,50,33,0.66
28,50,32,0.64
29,50,32,0.64
30,50,35,0.7
31,50,25,0.5
32,50,35,0.7
33,50,39,0.78
34,50,35,0.7
35,50,34,0.68
36,50,33,0.66
37,50,35,0.7
38,50,31,0.62
39,50,32,0.64
40,50,31,0.62
41,50,35,0.7
42,50,33,0.66
43,50,41,0.82
44,50,36,0.72
45,50,34,0.68
46,50,37,0.74
47,50,40,0.8
48,50,40,0.8
49,50,41,0.82
50,50,32,0.64
51,50,29,0.58
52,50,31,0.62
53,50,37,0.74
54,50,32,0.64
55,50,32,0.64
56,50,34,0.68
57,50,35,0.7
58,50,35,0.7
59,50,35,0.7
60,50,32,0.64
61,50,33,0.66
62,50,32,0.64
63,50,36,0.72
64,50,38,0.76
65,50,41,0.82
66,50,40,0.8
67,50,39,0.78
68,50,43,0.86
69,50,39,0.78
70,50,42,0.84
71,50,39,0.78
72,50,37,0.74
73,50,40,0.8
74,50,38,0.76
75,50,36,0.72
76,50,34,0.68
77,50,28,0.56
78,50,34,0.68
79,50,36,0.72
80,50,39,0.78
81,50,42,0.84
82,50,37,0.74
83,50,39,0.78
84,50,41,0.82
85,50,44,0.88
86,50,44,0.88
87,50,43,0.86
88,50,37,0.74
89,50,40,0.8
90,50,37,0.74
91,50,40,0.8
92,50,39,0.78
93,50,48,0.96
94,50,44,0.88
95,50,36,0.72
96,50,38,0.76
97,50,41,0.82
98,50,36,0.72
99,50,37,0.74
100,50,38,0.76
101,50,39,0.78
102,50,35,0.7
103,50,38,0.76
104,50,35,0.7
105,50,35,0.7
106,50,27,0.54
107,50,34,0.68
108,50,34,0.68
109,50,39,0.78
110,50,39,0.78
111,50,40,0.8
112,50,41,0.82
113,50,39,0.78
114,50,35,0.7
115,50,36,0.72
116,50,37,0.74
117,50,42,0.84
118,50,41,0.82
119,50,37,0.74
120,50,37,0.74
121,50,34,0.68
122,50,35,0.7
123,50,32,0.64
124,50,36,0.72
125,50,42,0.84
126,50,42,0.84
127,50,39,0.78
128,50,36,0.72
129,50,36,0.72
130,50,39,0.78
131,50,39,0.78
132,50,38,0.76
133,50,41,0.82
134,50,37,0.74
135,50,39,0.78
136,50,42,0.84
137,50,37,0.74
138,50,34,0.68
139,50,33,0.66
140,50,39,0.78
141,50,42,0.84
142,50,40,0.8
143,50,40,0.8
144,50,32,0.64
145,50,30,0.6
146,50,37,0.74
147,50,41,0.82
148,50,42,0.84
149,50,41,0.82
150,50,40,0.8
151,50,35,0.7
152,50,39,0.78
153,50,35,0.7
154,50,36,0.72
155,50,37,0.74
156,50,40,0.8
157,50,41,0.82
158,50,36,0.72
159,50,37,0.74
160,50,35,0.7
161,50,36,0.72
162,50,33,0.66
163,50,34,0.68
164,50,36,0.72
165,50,38,0.76
166,50,38,0.76
167,50,38,0.76
168,50,42,0.84
169,50,34,0.68
170,50,34,0.68
171,50,38,0.76
172,50,34,0.68
173,50,38,0.76
