Frame,Num_Receptors,Receptors_in_Cluster,Total_Receptors,Fraction_Receptors
0,50,36,50,0.72
1,50,44,50,0.88
2,50,32,50,0.64
3,50,34,50,0.68
4,50,35,50,0.7
5,50,34,50,0.68
6,50,34,50,0.68
7,50,38,50,0.76
8,50,27,50,0.54
9,50,29,50,0.58
10,50,27,50,0.54
11,50,34,50,0.68
12,50,35,50,0.7
13,50,38,50,0.76
14,50,34,50,0.68
15,50,36,50,0.72
16,50,35,50,0.7
17,50,40,50,0.8
18,50,35,50,0.7
19,50,24,50,0.48
20,50,29,50,0.58
21,50,30,50,0.6
22,50,28,50,0.56
23,50,30,50,0.6
24,50,29,50,0.58
25,50,31,50,0.62
26,50,38,50,0.76
27,50,32,50,0.64
28,50,31,50,0.62
29,50,30,50,0.6
30,50,33,50,0.66
31,50,24,50,0.48
32,50,33,50,0.66
33,50,38,50,0.76
34,50,32,50,0.64
35,50,30,50,0.6
36,50,32,50,0.64
37,50,34,50,0.68
38,50,29,50,0.58
39,50,32,50,0.64
40,50,31,50,0.62
41,50,35,50,0.7
42,50,34,50,0.68
43,50,41,50,0.82
44,50,35,50,0.7
45,50,35,50,0.7
46,50,35,50,0.7
47,50,36,50,0.72
48,50,40,50,0.8
49,50,40,50,0.8
50,50,30,50,0.6
51,50,29,50,0.58
52,50,29,50,0.58
53,50,36,50,0.72
54,50,29,50,0.58
55,50,32,50,0.64
56,50,33,50,0.66
57,50,34,50,0.68
58,50,35,50,0.7
59,50,35,50,0.7
60,50,32,50,0.64
61,50,32,50,0.64
62,50,30,50,0.6
63,50,33,50,0.66
64,50,37,50,0.74
65,50,40,50,0.8
66,50,39,50,0.78
67,50,37,50,0.74
68,50,42,50,0.84
69,50,39,50,0.78
70,50,41,50,0.82
71,50,39,50,0.78
72,50,35,50,0.7
73,50,39,50,0.78
74,50,37,50,0.74
75,50,35,50,0.7
76,50,33,50,0.66
77,50,27,50,0.54
78,50,34,50,0.68
79,50,35,50,0.7
80,50,38,50,0.76
81,50,41,50,0.82
82,50,36,50,0.72
83,50,39,50,0.78
84,50,41,50,0.82
85,50,43,50,0.86
86,50,44,50,0.88
87,50,42,50,0.84
88,50,35,50,0.7
89,50,36,50,0.72
90,50,36,50,0.72
91,50,39,50,0.78
92,50,39,50,0.78
93,50,47,50,0.94
94,50,44,50,0.88
95,50,36,50,0.72
96,50,37,50,0.74
97,50,41,50,0.82
98,50,35,50,0.7
99,50,36,50,0.72
100,50,36,50,0.72
101,50,36,50,0.72
102,50,35,50,0.7
103,50,37,50,0.74
104,50,33,50,0.66
105,50,33,50,0.66
106,50,27,50,0.54
107,50,34,50,0.68
108,50,33,50,0.66
109,50,38,50,0.76
110,50,39,50,0.78
111,50,38,50,0.76
112,50,38,50,0.76
113,50,38,50,0.76
114,50,34,50,0.68
115,50,36,50,0.72
116,50,37,50,0.74
117,50,42,50,0.84
118,50,41,50,0.82
119,50,34,50,0.68
120,50,37,50,0.74
121,50,34,50,0.68
122,50,33,50,0.66
123,50,31,50,0.62
124,50,36,50,0.72
125,50,42,50,0.84
126,50,41,50,0.82
127,50,39,50,0.78
128,50,35,50,0.7
129,50,36,50,0.72
130,50,39,50,0.78
131,50,38,50,0.76
132,50,34,50,0.68
133,50,39,50,0.78
134,50,36,50,0.72
135,50,39,50,0.78
136,50,42,50,0.84
137,50,37,50,0.74
138,50,34,50,0.68
139,50,33,50,0.66
140,50,37,50,0.74
141,50,41,50,0.82
142,50,40,50,0.8
143,50,40,50,0.8
144,50,32,50,0.64
145,50,30,50,0.6
146,50,35,50,0.7
147,50,40,50,0.8
148,50,40,50,0.8
149,50,39,50,0.78
150,50,39,50,0.78
151,50,35,50,0.7
152,50,39,50,0.78
153,50,33,50,0.66
154,50,34,50,0.68
155,50,35,50,0.7
156,50,39,50,0.78
157,50,40,50,0.8
158,50,35,50,0.7
159,50,35,50,0.7
160,50,32,50,0.64
161,50,33,50,0.66
162,50,33,50,0.66
163,50,33,50,0.66
164,50,36,50,0.72
165,50,38,50,0.76
166,50,38,50,0.76
167,50,38,50,0.76
168,50,42,50,0.84
169,50,34,50,0.68
170,50,33,50,0.66
171,50,38,50,0.76
172,50,34,50,0.68
173,50,38,50,0.76
174,50,39,50,0.78
175,50,36,50,0.72
176,50,41,50,0.82
177,50,41,50,0.82
178,50,39,50,0.78
179,50,41,50,0.82
180,50,39,50,0.78
181,50,39,50,0.78
182,50,44,50,0.88
183,50,35,50,0.7
184,50,41,50,0.82
185,50,37,50,0.74
186,50,30,50,0.6
187,50,38,50,0.76
188,50,37,50,0.74
189,50,36,50,0.72
190,50,35,50,0.7
191,50,36,50,0.72
192,50,40,50,0.8
193,50,37,50,0.74
194,50,37,50,0.74
195,50,34,50,0.68
196,50,32,50,0.64
197,50,30,50,0.6
198,50,31,50,0.62
199,50,27,50,0.54
200,50,35,50,0.7
201,50,38,50,0.76
202,50,33,50,0.66
203,50,35,50,0.7
204,50,33,50,0.66
205,50,34,50,0.68
206,50,37,50,0.74
207,50,30,50,0.6
208,50,35,50,0.7
209,50,34,50,0.68
210,50,32,50,0.64
211,50,36,50,0.72
212,50,38,50,0.76
213,50,36,50,0.72
214,50,40,50,0.8
215,50,37,50,0.74
216,50,30,50,0.6
217,50,32,50,0.64
218,50,37,50,0.74
219,50,35,50,0.7
220,50,32,50,0.64
221,50,35,50,0.7
222,50,36,50,0.72
223,50,36,50,0.72
224,50,37,50,0.74
225,50,32,50,0.64
226,50,41,50,0.82
227,50,38,50,0.76
228,50,39,50,0.78
229,50,38,50,0.76
230,50,35,50,0.7
231,50,35,50,0.7
232,50,27,50,0.54
233,50,30,50,0.6
234,50,41,50,0.82
235,50,46,50,0.92
236,50,39,50,0.78
237,50,41,50,0.82
238,50,33,50,0.66
239,50,35,50,0.7
240,50,36,50,0.72
241,50,40,50,0.8
242,50,32,50,0.64
243,50,33,50,0.66
244,50,33,50,0.66
245,50,35,50,0.7
246,50,34,50,0.68
247,50,31,50,0.62
248,50,38,50,0.76
249,50,38,50,0.76
250,50,38,50,0.76
251,50,38,50,0.76
252,50,31,50,0.62
253,50,34,50,0.68
254,50,40,50,0.8
255,50,33,50,0.66
256,50,38,50,0.76
257,50,36,50,0.72
258,50,35,50,0.7
259,50,35,50,0.7
260,50,39,50,0.78
261,50,34,50,0.68
262,50,35,50,0.7
263,50,31,50,0.62
264,50,39,50,0.78
265,50,40,50,0.8
266,50,36,50,0.72
267,50,38,50,0.76
268,50,39,50,0.78
269,50,43,50,0.86
270,50,44,50,0.88
271,50,45,50,0.9
272,50,40,50,0.8
273,50,36,50,0.72
274,50,37,50,0.74
275,50,34,50,0.68
276,50,32,50,0.64
277,50,36,50,0.72
278,50,35,50,0.7
279,50,32,50,0.64
280,50,41,50,0.82
281,50,42,50,0.84
282,50,38,50,0.76
283,50,36,50,0.72
284,50,40,50,0.8
285,50,38,50,0.76
286,50,34,50,0.68
287,50,34,50,0.68
288,50,36,50,0.72
289,50,33,50,0.66
290,50,33,50,0.66
291,50,36,50,0.72
292,50,36,50,0.72
293,50,35,50,0.7
294,50,30,50,0.6
295,50,28,50,0.56
296,50,32,50,0.64
297,50,28,50,0.56
298,50,36,50,0.72
