# time cluster_size count
50000.000000 1 3
50000.000000 107 1
50000.000000 129 1
50000.000000 361 1
100000.000000 1 5
100000.000000 58 1
100000.000000 106 1
100000.000000 127 1
100000.000000 304 1
150000.000000 1 11
150000.000000 2 1
150000.000000 3 1
150000.000000 54 1
150000.000000 105 1
150000.000000 127 1
150000.000000 298 1
200000.000000 1 21
200000.000000 55 2
200000.000000 73 1
200000.000000 101 1
200000.000000 295 1
250000.000000 1 22
250000.000000 55 1
250000.000000 56 1
250000.000000 72 1
250000.000000 99 1
250000.000000 296 1
300000.000000 1 26
300000.000000 2 1
300000.000000 56 1
300000.000000 57 1
300000.000000 69 1
300000.000000 95 1
300000.000000 295 1
350000.000000 1 28
350000.000000 2 3
350000.000000 4 1
350000.000000 37 1
350000.000000 54 1
350000.000000 55 2
350000.000000 71 1
350000.000000 290 1
400000.000000 1 26
400000.000000 2 7
400000.000000 3 2
400000.000000 52 1
400000.000000 54 1
400000.000000 69 1
400000.000000 87 1
400000.000000 292 1
450000.000000 1 27
450000.000000 2 5
450000.000000 3 2
450000.000000 52 1
450000.000000 54 1
450000.000000 70 1
450000.000000 89 1
450000.000000 292 1
500000.000000 1 23
500000.000000 2 3
500000.000000 3 3
500000.000000 4 2
500000.000000 53 1
500000.000000 56 1
500000.000000 70 1
500000.000000 86 1
500000.000000 289 1
550000.000000 1 29
550000.000000 2 2
550000.000000 3 5
550000.000000 4 2
550000.000000 32 1
550000.000000 51 2
550000.000000 55 1
550000.000000 65 1
550000.000000 290 1
600000.000000 1 29
600000.000000 2 6
600000.000000 3 1
600000.000000 4 1
600000.000000 33 1
600000.000000 53 3
600000.000000 67 1
600000.000000 293 1
650000.000000 1 32
650000.000000 2 2
650000.000000 3 4
650000.000000 38 1
650000.000000 49 1
650000.000000 54 1
650000.000000 117 1
650000.000000 294 1
700000.000000 1 34
700000.000000 2 6
700000.000000 3 2
700000.000000 35 1
700000.000000 49 1
700000.000000 120 1
700000.000000 344 1
750000.000000 1 37
750000.000000 2 1
750000.000000 4 1
750000.000000 5 1
750000.000000 37 1
750000.000000 50 1
750000.000000 55 1
750000.000000 121 1
750000.000000 289 1
800000.000000 1 21
800000.000000 2 8
800000.000000 3 2
800000.000000 37 1
800000.000000 50 1
800000.000000 56 1
800000.000000 117 1
800000.000000 297 1
850000.000000 1 29
850000.000000 2 2
850000.000000 3 2
850000.000000 5 1
850000.000000 36 1
850000.000000 50 1
850000.000000 56 1
850000.000000 117 1
850000.000000 297 1
900000.000000 1 28
900000.000000 2 7
900000.000000 3 1
900000.000000 5 1
900000.000000 35 1
