Frame,TotalReceptors,LargestClusterSize,FractionInCluster
0,150,131,0.8733333333333333
1,150,146,0.9733333333333334
2,150,142,0.9466666666666667
3,150,139,0.9266666666666666
4,150,139,0.9266666666666666
5,150,144,0.96
6,150,143,0.9533333333333334
7,150,147,0.98
8,150,140,0.9333333333333333
9,150,137,0.9133333333333333
10,150,136,0.9066666666666666
11,150,143,0.9533333333333334
12,150,143,0.9533333333333334
13,150,139,0.9266666666666666
14,150,144,0.96
15,150,147,0.98
16,150,143,0.9533333333333334
17,150,147,0.98
18,150,138,0.92
19,150,142,0.9466666666666667
20,150,142,0.9466666666666667
21,150,145,0.9666666666666667
22,150,146,0.9733333333333334
23,150,143,0.9533333333333334
24,150,146,0.9733333333333334
25,150,139,0.9266666666666666
26,150,140,0.9333333333333333
27,150,144,0.96
28,150,142,0.9466666666666667
29,150,141,0.94
30,150,142,0.9466666666666667
31,150,144,0.96
32,150,147,0.98
33,150,141,0.94
34,150,138,0.92
35,150,143,0.9533333333333334
36,150,144,0.96
37,150,142,0.9466666666666667
38,150,142,0.9466666666666667
39,150,141,0.94
40,150,141,0.94
41,150,140,0.9333333333333333
42,150,140,0.9333333333333333
43,150,145,0.9666666666666667
44,150,139,0.9266666666666666
45,150,143,0.9533333333333334
46,150,139,0.9266666666666666
47,150,139,0.9266666666666666
48,150,138,0.92
49,150,141,0.94
50,150,142,0.9466666666666667
51,150,142,0.9466666666666667
52,150,143,0.9533333333333334
53,150,143,0.9533333333333334
54,150,143,0.9533333333333334
55,150,140,0.9333333333333333
56,150,141,0.94
57,150,138,0.92
58,150,144,0.96
59,150,146,0.9733333333333334
60,150,141,0.94
61,150,147,0.98
62,150,143,0.9533333333333334
63,150,144,0.96
64,150,143,0.9533333333333334
65,150,144,0.96
66,150,142,0.9466666666666667
67,150,145,0.9666666666666667
68,150,139,0.9266666666666666
69,150,143,0.9533333333333334
70,150,140,0.9333333333333333
71,150,136,0.9066666666666666
72,150,141,0.94
73,150,140,0.9333333333333333
74,150,143,0.9533333333333334
75,150,144,0.96
76,150,143,0.9533333333333334
77,150,141,0.94
78,150,140,0.9333333333333333
79,150,146,0.9733333333333334
80,150,144,0.96
81,150,144,0.96
82,150,146,0.9733333333333334
83,150,143,0.9533333333333334
84,150,141,0.94
85,150,141,0.94
86,150,147,0.98
87,150,143,0.9533333333333334
88,150,144,0.96
89,150,143,0.9533333333333334
90,150,143,0.9533333333333334
91,150,145,0.9666666666666667
92,150,141,0.94
93,150,147,0.98
94,150,140,0.9333333333333333
95,150,142,0.9466666666666667
96,150,142,0.9466666666666667
97,150,141,0.94
98,150,148,0.9866666666666667
99,150,139,0.9266666666666666
100,150,143,0.9533333333333334
101,150,144,0.96
102,150,144,0.96
103,150,145,0.9666666666666667
104,150,139,0.9266666666666666
105,150,145,0.9666666666666667
106,150,143,0.9533333333333334
107,150,142,0.9466666666666667
108,150,141,0.94
109,150,145,0.9666666666666667
110,150,143,0.9533333333333334
111,150,145,0.9666666666666667
112,150,139,0.9266666666666666
113,150,136,0.9066666666666666
114,150,144,0.96
115,150,138,0.92
116,150,142,0.9466666666666667
117,150,141,0.94
118,150,138,0.92
119,150,130,0.8666666666666667
120,150,140,0.9333333333333333
121,150,146,0.9733333333333334
122,150,147,0.98
123,150,141,0.94
124,150,138,0.92
125,150,139,0.9266666666666666
126,150,140,0.9333333333333333
127,150,144,0.96
128,150,140,0.9333333333333333
129,150,140,0.9333333333333333
130,150,145,0.9666666666666667
131,150,147,0.98
132,150,148,0.9866666666666667
133,150,144,0.96
134,150,140,0.9333333333333333
135,150,138,0.92
136,150,141,0.94
137,150,146,0.9733333333333334
138,150,144,0.96
139,150,139,0.9266666666666666
140,150,141,0.94
141,150,141,0.94
142,150,137,0.9133333333333333
143,150,141,0.94
144,150,143,0.9533333333333334
145,150,144,0.96
146,150,143,0.9533333333333334
147,150,139,0.9266666666666666
148,150,141,0.94
149,150,146,0.9733333333333334
150,150,143,0.9533333333333334
151,150,142,0.9466666666666667
152,150,145,0.9666666666666667
153,150,142,0.9466666666666667
154,150,143,0.9533333333333334
155,150,144,0.96
156,150,141,0.94
157,150,145,0.9666666666666667
158,150,139,0.9266666666666666
159,150,142,0.9466666666666667
160,150,144,0.96
161,150,139,0.9266666666666666
162,150,144,0.96
163,150,140,0.9333333333333333
164,150,142,0.9466666666666667
165,150,139,0.9266666666666666
166,150,145,0.9666666666666667
167,150,142,0.9466666666666667
168,150,144,0.96
169,150,144,0.96
170,150,147,0.98
171,150,145,0.9666666666666667
172,150,136,0.9066666666666666
173,150,145,0.9666666666666667
174,150,143,0.9533333333333334
175,150,146,0.9733333333333334
176,150,145,0.9666666666666667
177,150,142,0.9466666666666667
178,150,142,0.9466666666666667
179,150,141,0.94
180,150,145,0.9666666666666667
181,150,148,0.9866666666666667
182,150,148,0.9866666666666667
183,150,145,0.9666666666666667
184,150,139,0.9266666666666666
185,150,139,0.9266666666666666
186,150,145,0.9666666666666667
187,150,143,0.9533333333333334
188,150,139,0.9266666666666666
189,150,142,0.9466666666666667
190,150,140,0.9333333333333333
191,150,141,0.94
192,150,139,0.9266666666666666
193,150,141,0.94
194,150,140,0.9333333333333333
195,150,144,0.96
196,150,143,0.9533333333333334
197,150,148,0.9866666666666667
198,150,144,0.96
199,150,141,0.94
200,150,141,0.94
201,150,144,0.96
202,150,140,0.9333333333333333
203,150,138,0.92
204,150,146,0.9733333333333334
205,150,141,0.94
206,150,146,0.9733333333333334
207,150,149,0.9933333333333333
208,150,144,0.96
209,150,143,0.9533333333333334
210,150,144,0.96
211,150,146,0.9733333333333334
212,150,147,0.98
213,150,138,0.92
214,150,142,0.9466666666666667
215,150,141,0.94
216,150,146,0.9733333333333334
217,150,144,0.96
218,150,140,0.9333333333333333
219,150,142,0.9466666666666667
220,150,135,0.9
221,150,143,0.9533333333333334
222,150,140,0.9333333333333333
223,150,142,0.9466666666666667
224,150,143,0.9533333333333334
225,150,142,0.9466666666666667
226,150,139,0.9266666666666666
227,150,142,0.9466666666666667
228,150,146,0.9733333333333334
229,150,140,0.9333333333333333
230,150,138,0.92
231,150,143,0.9533333333333334
232,150,143,0.9533333333333334
233,150,143,0.9533333333333334
234,150,142,0.9466666666666667
235,150,141,0.94
236,150,142,0.9466666666666667
237,150,138,0.92
238,150,141,0.94
239,150,140,0.9333333333333333
240,150,139,0.9266666666666666
241,150,146,0.9733333333333334
242,150,146,0.9733333333333334
243,150,143,0.9533333333333334
244,150,140,0.9333333333333333
245,150,141,0.94
246,150,142,0.9466666666666667
247,150,144,0.96
248,150,142,0.9466666666666667
249,150,141,0.94
250,150,145,0.9666666666666667
251,150,147,0.98
252,150,145,0.9666666666666667
253,150,140,0.9333333333333333
254,150,140,0.9333333333333333
255,150,138,0.92
256,150,138,0.92
257,150,138,0.92
258,150,146,0.9733333333333334
259,150,145,0.9666666666666667
260,150,135,0.9
261,150,144,0.96
262,150,142,0.9466666666666667
263,150,145,0.9666666666666667
264,150,143,0.9533333333333334
265,150,142,0.9466666666666667
266,150,143,0.9533333333333334
267,150,143,0.9533333333333334
268,150,145,0.9666666666666667
269,150,145,0.9666666666666667
270,150,141,0.94
271,150,144,0.96
272,150,141,0.94
273,150,142,0.9466666666666667
274,150,140,0.9333333333333333
275,150,143,0.9533333333333334
276,150,136,0.9066666666666666
277,150,140,0.9333333333333333
