Frame,Num_Receptors,Receptors_in_Cluster,Total_Receptors,Fraction_Receptors
0,150,130,150,0.8666666666666667
1,150,146,150,0.9733333333333334
2,150,142,150,0.9466666666666667
3,150,136,150,0.9066666666666666
4,150,136,150,0.9066666666666666
5,150,143,150,0.9533333333333334
6,150,142,150,0.9466666666666667
7,150,146,150,0.9733333333333334
8,150,139,150,0.9266666666666666
9,150,135,150,0.9
10,150,134,150,0.8933333333333333
11,150,142,150,0.9466666666666667
12,150,143,150,0.9533333333333334
13,150,136,150,0.9066666666666666
14,150,144,150,0.96
15,150,147,150,0.98
16,150,142,150,0.9466666666666667
17,150,146,150,0.9733333333333334
18,150,139,150,0.9266666666666666
19,150,142,150,0.9466666666666667
20,150,141,150,0.94
21,150,143,150,0.9533333333333334
22,150,145,150,0.9666666666666667
23,150,141,150,0.94
24,150,146,150,0.9733333333333334
25,150,137,150,0.9133333333333333
26,150,140,150,0.9333333333333333
27,150,140,150,0.9333333333333333
28,150,139,150,0.9266666666666666
29,150,141,150,0.94
30,150,139,150,0.9266666666666666
31,150,142,150,0.9466666666666667
32,150,146,150,0.9733333333333334
33,150,140,150,0.9333333333333333
34,150,135,150,0.9
35,150,142,150,0.9466666666666667
36,150,141,150,0.94
37,150,141,150,0.94
38,150,141,150,0.94
39,150,139,150,0.9266666666666666
40,150,141,150,0.94
41,150,137,150,0.9133333333333333
42,150,140,150,0.9333333333333333
43,150,142,150,0.9466666666666667
44,150,139,150,0.9266666666666666
45,150,142,150,0.9466666666666667
46,150,135,150,0.9
47,150,137,150,0.9133333333333333
48,150,135,150,0.9
49,150,141,150,0.94
50,150,140,150,0.9333333333333333
51,150,139,150,0.9266666666666666
52,150,142,150,0.9466666666666667
53,150,141,150,0.94
54,150,143,150,0.9533333333333334
55,150,136,150,0.9066666666666666
56,150,137,150,0.9133333333333333
57,150,136,150,0.9066666666666666
58,150,144,150,0.96
59,150,143,150,0.9533333333333334
60,150,141,150,0.94
61,150,145,150,0.9666666666666667
62,150,142,150,0.9466666666666667
63,150,143,150,0.9533333333333334
64,150,141,150,0.94
65,150,141,150,0.94
66,150,141,150,0.94
67,150,144,150,0.96
68,150,138,150,0.92
69,150,142,150,0.9466666666666667
70,150,140,150,0.9333333333333333
71,150,133,150,0.8866666666666667
72,150,140,150,0.9333333333333333
73,150,138,150,0.92
74,150,140,150,0.9333333333333333
75,150,139,150,0.9266666666666666
76,150,143,150,0.9533333333333334
77,150,141,150,0.94
78,150,138,150,0.92
79,150,146,150,0.9733333333333334
80,150,143,150,0.9533333333333334
81,150,142,150,0.9466666666666667
82,150,145,150,0.9666666666666667
83,150,142,150,0.9466666666666667
84,150,139,150,0.9266666666666666
85,150,140,150,0.9333333333333333
86,150,146,150,0.9733333333333334
87,150,140,150,0.9333333333333333
88,150,141,150,0.94
89,150,142,150,0.9466666666666667
90,150,141,150,0.94
91,150,144,150,0.96
92,150,136,150,0.9066666666666666
93,150,145,150,0.9666666666666667
94,150,140,150,0.9333333333333333
95,150,141,150,0.94
96,150,141,150,0.94
97,150,142,150,0.9466666666666667
98,150,147,150,0.98
99,150,140,150,0.9333333333333333
100,150,143,150,0.9533333333333334
101,150,143,150,0.9533333333333334
102,150,144,150,0.96
103,150,140,150,0.9333333333333333
104,150,137,150,0.9133333333333333
105,150,145,150,0.9666666666666667
106,150,140,150,0.9333333333333333
107,150,141,150,0.94
108,150,141,150,0.94
109,150,144,150,0.96
110,150,142,150,0.9466666666666667
111,150,144,150,0.96
112,150,138,150,0.92
113,150,133,150,0.8866666666666667
114,150,142,150,0.9466666666666667
115,150,136,150,0.9066666666666666
116,150,139,150,0.9266666666666666
117,150,141,150,0.94
118,150,135,150,0.9
119,150,130,150,0.8666666666666667
120,150,140,150,0.9333333333333333
121,150,144,150,0.96
122,150,146,150,0.9733333333333334
123,150,140,150,0.9333333333333333
124,150,137,150,0.9133333333333333
125,150,139,150,0.9266666666666666
126,150,140,150,0.9333333333333333
127,150,143,150,0.9533333333333334
128,150,139,150,0.9266666666666666
129,150,140,150,0.9333333333333333
130,150,143,150,0.9533333333333334
131,150,146,150,0.9733333333333334
132,150,147,150,0.98
133,150,144,150,0.96
134,150,140,150,0.9333333333333333
135,150,138,150,0.92
136,150,141,150,0.94
137,150,146,150,0.9733333333333334
138,150,144,150,0.96
139,150,137,150,0.9133333333333333
