Radius(Å),dClusterDensity_dr_raw(atoms/Å⁴),dAllPolymerDensity_dr_raw(atoms/Å⁴),dClusterDensity_dr_smoothed(atoms/Å⁴),dAllPolymerDensity_dr_smoothed(atoms/Å⁴),dClusterDensity_dr_plotly_sign(atoms/Å⁴),dAllPolymerDensity_dr_plotly_sign(atoms/Å⁴)
13.5,-0.00019249979070234957,-0.00018526683283194914,-4.619006170385716e-05,-4.2368730208201724e-05,4.619006170385716e-05,4.2368730208201724e-05
14.5,1.984146981640067e-05,3.410454115330107e-05,5.8478892590249365e-05,7.259955314652316e-05,-5.8478892590249365e-05,-7.259955314652316e-05
15.5,0.00013607712164894967,0.00021957155328349888,7.793934045028994e-05,8.58406405466161e-05,-7.793934045028994e-05,-8.58406405466161e-05
16.5,0.00034546971501559984,0.0003041452775041989,5.4752518951264685e-05,5.833725530095483e-05,-5.4752518951264685e-05,-5.833725530095483e-05
17.5,0.00016764274724455006,9.367898893205065e-05,7.35350682027335e-05,7.201408723109064e-05,-7.35350682027335e-05,-7.201408723109064e-05
18.5,-0.00014057396361590035,-8.428155430354953e-05,6.11425600752145e-05,5.3666404574886245e-05,-6.11425600752145e-05,-5.3666404574886245e-05
19.5,-0.0001734576690761002,-0.00017276395852280045,2.4962257671137325e-05,1.2382668332341039e-05,-2.4962257671137325e-05,-1.2382668332341039e-05
20.5,-1.8397819085150258e-05,-6.0737907070200145e-05,7.314107838346961e-07,-1.573921872411293e-05,-7.314107838346961e-07,1.573921872411293e-05
21.5,9.404022139845002e-05,0.00010058697252385111,-1.5441789458217477e-05,-1.7190995797952624e-05,1.5441789458217477e-05,1.7190995797952624e-05
22.5,0.00011371445976465083,0.00010968623169820002,5.3336170203680176e-06,1.058959822881733e-05,-5.3336170203680176e-06,-1.058959822881733e-05
23.5,4.431736880189906e-05,4.6631202550499046e-05,4.522920966001455e-05,4.868992150427055e-05,-4.522920966001455e-05,-4.868992150427055e-05
24.5,-9.185689117049978e-06,-2.466464226349649e-06,6.290396494991863e-05,7.379756560926408e-05,-6.290396494991863e-05,-7.379756560926408e-05
25.5,-8.393132043704905e-05,-5.498086538214923e-05,3.5787856211625066e-05,5.4792665706436624e-05,-3.5787856211625066e-05,-5.4792665706436624e-05
26.5,-0.0001161918649819002,-7.450507874750059e-05,-6.195156737685966e-05,-3.830731205784217e-05,6.195156737685966e-05,3.830731205784217e-05
27.5,-5.888628246025068e-05,-4.4387041196400356e-05,-0.00024993083991489375,-0.00022669556161651828,0.00024993083991489375,0.00022669556161651828
28.5,-0.0002481536997957501,-0.0002626508849013498,-0.0005099612842675494,-0.0004906263371843349,0.0005099612842675494,0.0004906263371843349
29.5,-0.0007197098461717497,-0.0006769650758137492,-0.0007958971017981104,-0.0007849551272448663,0.0007958971017981104,0.0007849551272448663
30.5,-0.0012567744199356995,-0.0012344832249850998,-0.0010789617648137328,-0.001079895555500226,0.0010789617648137328,0.001079895555500226
31.5,-0.00158075574092305,-0.0016198919653374012,-0.0013223269727839994,-0.0013317612875401368,0.0013223269727839994,0.0013317612875401368
32.5,-0.0016027979847706006,-0.0016127016431537501,-0.0014945112285132383,-0.001507250149301886,0.0014945112285132383,0.001507250149301886
33.5,-0.0014666262732540994,-0.0014922400472344999,-0.0015535683890173296,-0.0015670696701921612,0.0015535683890173296,0.0015670696701921612
34.5,-0.0014284296731361997,-0.0014492208362702,-0.0014990301163226199,-0.001518697972543667,0.0014990301163226199,0.001518697972543667
35.5,-0.0013315477938608006,-0.0013409706549705,-0.001388376733887405,-0.0014048626585426581,0.001388376733887405,0.0014048626585426581
36.5,-0.0012936369947243501,-0.00129977408712345,-0.0012876931221224737,-0.0012983237591305014,0.0012876931221224737,0.0012983237591305014
37.5,-0.0012437339296886498,-0.0012435518025691998,-0.0012253215637728595,-0.0012371833432979994,0.0012253215637728595,0.0012371833432979994
38.5,-0.0011271258230716001,-0.0011492785151685,-0.001174180405098851,-0.0011860767096614194,0.001174180405098851,0.0011860767096614194
39.5,-0.00107694581837,-0.0010967885361427999,-0.0010969988506767513,-0.001112224853475062,0.0010969988506767513,0.001112224853475062
40.5,-0.0010376297605628,-0.00105226039886485,-0.0009974573774513718,-0.0010148847951946013,0.0009974573774513718,0.0010148847951946013
41.5,-0.0009484486728514,-0.0009633652240064001,-0.0008694803867003507,-0.000887145926641005,0.0008694803867003507,0.000887145926641005
42.5,-0.0007528074157912001,-0.00077662837685375,-0.0007271075407462016,-0.0007438204992498095,0.0007271075407462016,0.0007438204992498095
43.5,-0.00054271505322895,-0.00055668409119185,-0.0005817792785042708,-0.000594299731896225,0.0005817792785042708,0.000594299731896225
44.5,-0.00038400530413185,-0.0003873586725877,-0.0004337524517862523,-0.0004441427083576366,0.0004337524517862523,0.0004441427083576366
45.5,-0.00027931055185205,-0.0002868255651807,-0.00030237597117908595,-0.00031051125801253237,0.00030237597117908595,0.00031051125801253237
46.5,-0.0001995668628925,-0.00020732600801695003,-0.00020149330418253158,-0.0002068618785474728,0.00020149330418253158,0.0002068618785474728
47.5,-0.00014617751318425003,-0.00014887183453075002,-0.00014147748073395046,-0.00014492337607539428,0.00014147748073395046,0.00014492337607539428
48.5,-0.00010539488951564128,-0.00010797484534393143,-9.888120337239118e-05,-0.00010083931018798167,9.888120337239118e-05,0.00010083931018798167
49.5,-7.059363562129717e-05,-7.170900385069267e-05,-6.80488878094899e-05,-6.902575912645864e-05,6.80488878094899e-05,6.902575912645864e-05
50.5,-3.529465058487665e-05,-3.6440364656484116e-05,-4.332494975688378e-05,-4.3898801132049485e-05,4.332494975688378e-05,4.3898801132049485e-05
51.5,-2.1243966999941533e-05,-2.1406386692245717e-05,-1.9053804926209448e-05,-1.9874514445978025e-05,1.9053804926209448e-05,1.9874514445978025e-05
