Frame,TotalReceptors,LargestClusterSize,FractionInCluster
164,250,243,0.972
165,250,244,0.976
166,250,241,0.964
167,250,246,0.984
168,250,246,0.984
169,250,244,0.976
170,250,243,0.972
171,250,242,0.968
172,250,241,0.964
173,250,242,0.968
174,250,246,0.984
175,250,244,0.976
176,250,243,0.972
177,250,239,0.956
178,250,242,0.968
179,250,244,0.976
180,250,239,0.956
181,250,243,0.972
182,250,243,0.972
183,250,240,0.96
184,250,243,0.972
185,250,241,0.964
186,250,239,0.956
187,250,243,0.972
188,250,243,0.972
189,250,241,0.964
190,250,244,0.976
191,250,244,0.976
192,250,241,0.964
193,250,241,0.964
194,250,241,0.964
195,250,240,0.96
196,250,237,0.948
197,250,247,0.988
198,250,244,0.976
199,250,243,0.972
200,250,241,0.964
201,250,241,0.964
202,250,246,0.984
203,250,245,0.98
204,250,243,0.972
205,250,245,0.98
206,250,242,0.968
207,250,245,0.98
208,250,245,0.98
209,250,242,0.968
210,250,244,0.976
211,250,238,0.952
212,250,241,0.964
213,250,244,0.976
214,250,238,0.952
215,250,248,0.992
216,250,247,0.988
217,250,246,0.984
218,250,243,0.972
219,250,240,0.96
220,250,246,0.984
221,250,242,0.968
222,250,242,0.968
223,250,242,0.968
224,250,240,0.96
225,250,245,0.98
226,250,243,0.972
227,250,244,0.976
228,250,249,0.996
229,250,239,0.956
230,250,248,0.992
231,250,247,0.988
232,250,246,0.984
233,250,248,0.992
234,250,245,0.98
235,250,243,0.972
236,250,240,0.96
237,250,241,0.964
238,250,245,0.98
239,250,243,0.972
240,250,242,0.968
241,250,242,0.968
242,250,245,0.98
243,250,244,0.976
244,250,246,0.984
245,250,244,0.976
246,250,245,0.98
247,250,246,0.984
248,250,243,0.972
249,250,244,0.976
250,250,246,0.984
251,250,242,0.968
252,250,244,0.976
253,250,245,0.98
254,250,243,0.972
255,250,242,0.968
256,250,244,0.976
257,250,248,0.992
258,250,247,0.988
259,250,243,0.972
260,250,241,0.964
261,250,245,0.98
262,250,242,0.968
263,250,243,0.972
264,250,244,0.976
265,250,242,0.968
266,250,240,0.96
267,250,244,0.976
268,250,249,0.996
269,250,242,0.968
270,250,240,0.96
271,250,243,0.972
272,250,242,0.968
273,250,244,0.976
274,250,243,0.972
275,250,242,0.968
276,250,248,0.992
277,250,243,0.972
278,250,245,0.98
279,250,239,0.956
280,250,248,0.992
281,250,247,0.988
282,250,245,0.98
283,250,247,0.988
284,250,242,0.968
285,250,242,0.968
286,250,242,0.968
287,250,248,0.992
288,250,242,0.968
289,250,240,0.96
290,250,240,0.96
291,250,248,0.992
292,250,249,0.996
293,250,239,0.956
294,250,246,0.984
295,250,246,0.984
296,250,243,0.972
297,250,239,0.956
298,250,240,0.96
299,250,239,0.956
300,250,246,0.984
301,250,244,0.976
302,250,245,0.98
303,250,245,0.98
304,250,244,0.976
305,250,243,0.972
306,250,243,0.972
307,250,236,0.944
308,250,236,0.944
309,250,238,0.952
310,250,241,0.964
311,250,246,0.984
312,250,244,0.976
313,250,245,0.98
314,250,245,0.98
315,250,243,0.972
316,250,240,0.96
317,250,244,0.976
318,250,242,0.968
319,250,244,0.976
320,250,244,0.976
321,250,246,0.984
322,250,241,0.964
323,250,239,0.956
324,250,247,0.988
325,250,241,0.964
326,250,243,0.972
327,250,239,0.956
328,250,244,0.976
329,250,244,0.976
330,250,241,0.964
331,250,241,0.964
332,250,246,0.984
333,250,244,0.976
334,250,245,0.98
335,250,244,0.976
336,250,247,0.988
337,250,239,0.956
338,250,241,0.964
339,250,248,0.992
340,250,247,0.988
341,250,247,0.988
342,250,246,0.984
343,250,243,0.972
344,250,247,0.988
345,250,240,0.96
346,250,243,0.972
347,250,245,0.98
348,250,239,0.956
349,250,238,0.952
350,250,243,0.972
351,250,248,0.992
352,250,241,0.964
353,250,246,0.984
354,250,240,0.96
355,250,245,0.98
356,250,242,0.968
357,250,242,0.968
358,250,242,0.968
359,250,242,0.968
360,250,243,0.972
361,250,242,0.968
362,250,246,0.984
363,250,244,0.976
364,250,241,0.964
365,250,246,0.984
366,250,245,0.98
367,250,243,0.972
368,250,240,0.96
369,250,243,0.972
370,250,240,0.96
371,250,244,0.976
372,250,249,0.996
373,250,246,0.984
374,250,248,0.992
375,250,244,0.976
376,250,244,0.976
377,250,245,0.98
378,250,236,0.944
379,250,245,0.98
380,250,242,0.968
381,250,243,0.972
382,250,242,0.968
383,250,241,0.964
384,250,245,0.98
385,250,239,0.956
386,250,243,0.972
387,250,240,0.96
388,250,243,0.972
389,250,243,0.972
390,250,240,0.96
391,250,243,0.972
392,250,244,0.976
393,250,245,0.98
394,250,244,0.976
395,250,241,0.964
396,250,243,0.972
397,250,241,0.964
398,250,245,0.98
399,250,245,0.98
