Frame,TotalReceptors,LargestClusterSize,FractionInCluster
0,250,240,0.96
1,250,247,0.988
2,250,248,0.992
3,250,241,0.964
4,250,244,0.976
5,250,246,0.984
6,250,243,0.972
7,250,247,0.988
8,250,241,0.964
9,250,245,0.98
10,250,243,0.972
11,250,244,0.976
12,250,246,0.984
13,250,240,0.96
14,250,244,0.976
15,250,240,0.96
16,250,239,0.956
17,250,237,0.948
18,250,240,0.96
19,250,245,0.98
20,250,242,0.968
21,250,245,0.98
22,250,245,0.98
23,250,243,0.972
24,250,245,0.98
25,250,240,0.96
26,250,241,0.964
27,250,245,0.98
28,250,244,0.976
29,250,246,0.984
30,250,246,0.984
31,250,247,0.988
32,250,241,0.964
33,250,247,0.988
34,250,243,0.972
35,250,241,0.964
36,250,244,0.976
37,250,246,0.984
38,250,241,0.964
39,250,244,0.976
40,250,240,0.96
41,250,242,0.968
42,250,241,0.964
43,250,238,0.952
44,250,246,0.984
45,250,245,0.98
46,250,242,0.968
47,250,240,0.96
48,250,243,0.972
49,250,246,0.984
50,250,243,0.972
51,250,243,0.972
52,250,240,0.96
53,250,239,0.956
54,250,245,0.98
55,250,243,0.972
56,250,244,0.976
57,250,243,0.972
58,250,244,0.976
59,250,245,0.98
60,250,247,0.988
61,250,243,0.972
62,250,242,0.968
63,250,241,0.964
64,250,243,0.972
65,250,248,0.992
66,250,246,0.984
67,250,239,0.956
68,250,239,0.956
69,250,243,0.972
70,250,246,0.984
71,250,248,0.992
72,250,246,0.984
73,250,246,0.984
74,250,243,0.972
75,250,242,0.968
76,250,244,0.976
77,250,238,0.952
78,250,240,0.96
79,250,244,0.976
80,250,241,0.964
81,250,243,0.972
82,250,243,0.972
83,250,239,0.956
84,250,242,0.968
85,250,243,0.972
86,250,242,0.968
87,250,244,0.976
88,250,240,0.96
89,250,243,0.972
90,250,245,0.98
91,250,243,0.972
92,250,239,0.956
93,250,239,0.956
94,250,244,0.976
95,250,243,0.972
96,250,241,0.964
97,250,244,0.976
98,250,244,0.976
99,250,245,0.98
100,250,242,0.968
101,250,244,0.976
102,250,244,0.976
103,250,238,0.952
104,250,242,0.968
105,250,243,0.972
106,250,244,0.976
107,250,249,0.996
108,250,246,0.984
109,250,244,0.976
110,250,248,0.992
111,250,243,0.972
112,250,246,0.984
113,250,244,0.976
114,250,243,0.972
115,250,235,0.94
116,250,240,0.96
117,250,242,0.968
118,250,247,0.988
119,250,243,0.972
120,250,242,0.968
121,250,243,0.972
122,250,245,0.98
123,250,248,0.992
124,250,242,0.968
125,250,241,0.964
126,250,243,0.972
127,250,243,0.972
128,250,243,0.972
129,250,246,0.984
130,250,243,0.972
131,250,246,0.984
132,250,242,0.968
133,250,243,0.972
134,250,243,0.972
135,250,241,0.964
136,250,242,0.968
137,250,245,0.98
138,250,243,0.972
139,250,243,0.972
140,250,243,0.972
141,250,241,0.964
142,250,240,0.96
143,250,243,0.972
144,250,242,0.968
145,250,244,0.976
146,250,243,0.972
147,250,248,0.992
148,250,244,0.976
149,250,237,0.948
150,250,245,0.98
151,250,243,0.972
152,250,246,0.984
153,250,245,0.98
154,250,246,0.984
155,250,242,0.968
156,250,243,0.972
157,250,246,0.984
158,250,245,0.98
159,250,245,0.98
160,250,239,0.956
161,250,244,0.976
162,250,244,0.976
163,250,240,0.96
