# time cluster_size count
50000.000000 1 1
50000.000000 599 1
100000.000000 1 13
100000.000000 97 1
100000.000000 198 1
100000.000000 292 1
150000.000000 1 16
150000.000000 2 1
150000.000000 7 1
150000.000000 282 1
150000.000000 293 1
200000.000000 1 23
200000.000000 2 2
200000.000000 5 1
200000.000000 7 1
200000.000000 88 1
200000.000000 473 1
250000.000000 1 21
250000.000000 2 2
250000.000000 3 1
250000.000000 4 1
250000.000000 87 1
250000.000000 481 1
300000.000000 1 20
300000.000000 2 2
300000.000000 4 1
300000.000000 87 1
300000.000000 485 1
350000.000000 1 20
350000.000000 2 8
350000.000000 5 1
350000.000000 84 1
350000.000000 191 1
350000.000000 284 1
400000.000000 1 25
400000.000000 2 6
400000.000000 82 1
400000.000000 481 1
450000.000000 1 26
450000.000000 2 2
450000.000000 3 1
450000.000000 567 1
500000.000000 1 31
500000.000000 2 3
500000.000000 3 1
500000.000000 80 1
500000.000000 480 1
550000.000000 1 28
550000.000000 2 3
550000.000000 6 1
550000.000000 80 1
550000.000000 480 1
600000.000000 1 28
600000.000000 2 4
600000.000000 564 1
650000.000000 1 29
650000.000000 2 3
650000.000000 3 2
650000.000000 559 1
700000.000000 1 33
700000.000000 2 4
700000.000000 3 3
700000.000000 7 1
700000.000000 543 1
750000.000000 1 26
750000.000000 2 8
750000.000000 7 1
750000.000000 94 1
750000.000000 457 1
800000.000000 1 33
800000.000000 2 3
800000.000000 7 1
800000.000000 137 1
800000.000000 417 1
850000.000000 1 25
850000.000000 2 5
850000.000000 4 1
850000.000000 6 1
850000.000000 7 1
850000.000000 95 1
850000.000000 109 1
850000.000000 344 1
900000.000000 1 25
900000.000000 2 4
900000.000000 3 1
900000.000000 7 1
900000.000000 79 1
900000.000000 97 1
900000.000000 381 1
950000.000000 1 26
950000.000000 2 5
950000.000000 3 2
950000.000000 7 1
950000.000000 76 1
950000.000000 475 1
1000000.000000 1 33
1000000.000000 2 3
1000000.000000 3 3
1000000.000000 83 1
1000000.000000 94 1
1000000.000000 375 1
1050000.000000 1 34
1050000.000000 2 2
1050000.000000 3 3
1050000.000000 4 1
1050000.000000 78 1
1050000.000000 95 1
1050000.000000 376 1
1100000.000000 1 40
1100000.000000 2 1
1100000.000000 83 1
1100000.000000 96 1
1100000.000000 379 1
1150000.000000 1 34
1150000.000000 2 3
1150000.000000 3 2
1150000.000000 78 1
1150000.000000 476 1
1200000.000000 1 25
1200000.000000 2 4
1200000.000000 3 1
1200000.000000 4 3
1200000.000000 78 1
1200000.000000 97 1
1200000.000000 377 1
1250000.000000 1 30
1250000.000000 2 9
1250000.000000 4 1
1250000.000000 80 1
1250000.000000 95 1
1250000.000000 373 1
1300000.000000 1 28
1300000.000000 2 5
1300000.000000 3 2
1300000.000000 83 1
1300000.000000 473 1
1350000.000000 1 26
1350000.000000 2 9
1350000.000000 556 1
1400000.000000 1 35
1400000.000000 2 7
1400000.000000 81 1
1400000.000000 470 1
1450000.000000 1 29
1450000.000000 2 4
1450000.000000 4 2
1450000.000000 83 1
1450000.000000 88 1
1450000.000000 384 1
1500000.000000 1 32
1500000.000000 2 1
1500000.000000 3 1
1500000.000000 4 1
1500000.000000 84 1
1500000.000000 475 1
1550000.000000 1 29
1550000.000000 2 4
1550000.000000 4 2
1550000.000000 83 1
1550000.000000 472 1
1600000.000000 1 31
1600000.000000 2 2
1600000.000000 3 2
1600000.000000 4 1
1600000.000000 80 1
1600000.000000 475 1
1650000.000000 1 34
1650000.000000 2 4
1650000.000000 3 1
1650000.000000 79 1
1650000.000000 476 1
1700000.000000 1 31
1700000.000000 2 5
1700000.000000 3 1
1700000.000000 81 1
1700000.000000 91 1
1700000.000000 384 1
1750000.000000 1 39
1750000.000000 2 3
1750000.000000 3 1
1750000.000000 79 1
1750000.000000 87 1
1750000.000000 386 1
1800000.000000 1 36
1800000.000000 2 3
1800000.000000 3 1
1800000.000000 4 1
1800000.000000 80 1
1800000.000000 88 1
1800000.000000 383 1
1850000.000000 1 30
1850000.000000 2 2
1850000.000000 3 3
1850000.000000 82 1
1850000.000000 90 1
1850000.000000 385 1
1900000.000000 1 31
1900000.000000 2 4
1900000.000000 3 2
1900000.000000 90 1
1900000.000000 465 1
1950000.000000 1 28
1950000.000000 2 1
1950000.000000 3 2
1950000.000000 4 1
1950000.000000 79 1
1950000.000000 92 1
1950000.000000 389 1
2000000.000000 1 34
2000000.000000 2 4
2000000.000000 4 1
2000000.000000 90 1
2000000.000000 464 1
2050000.000000 1 31
2050000.000000 2 4
2050000.000000 3 1
2050000.000000 78 1
2050000.000000 93 1
2050000.000000 387 1
2100000.000000 1 27
2100000.000000 2 3
2100000.000000 3 3
2100000.000000 93 1
2100000.000000 465 1
2150000.000000 1 25
2150000.000000 2 3
2150000.000000 3 4
2150000.000000 93 1
2150000.000000 464 1
2200000.000000 1 21
2200000.000000 2 4
2200000.000000 3 3
2200000.000000 4 1
2200000.000000 80 1
2200000.000000 94 1
2200000.000000 384 1
2250000.000000 1 27
2250000.000000 2 3
2250000.000000 3 1
2250000.000000 4 1
2250000.000000 94 1
2250000.000000 466 1
2300000.000000 1 32
2300000.000000 2 3
2300000.000000 3 2
2300000.000000 80 1
2300000.000000 93 1
