Frame,Num_Receptors,LargestClusterSize,Fraction
317,100,4,0.04
318,100,6,0.06
319,100,4,0.04
320,100,4,0.04
321,100,3,0.03
322,100,3,0.03
323,100,7,0.07
324,100,6,0.06
325,100,3,0.03
326,100,3,0.03
327,100,4,0.04
328,100,4,0.04
329,100,3,0.03
330,100,5,0.05
331,100,7,0.07
332,100,3,0.03
333,100,3,0.03
334,100,5,0.05
335,100,5,0.05
336,100,4,0.04
337,100,4,0.04
338,100,4,0.04
339,100,3,0.03
340,100,5,0.05
341,100,5,0.05
342,100,4,0.04
343,100,4,0.04
344,100,3,0.03
345,100,5,0.05
346,100,8,0.08
347,100,4,0.04
348,100,4,0.04
349,100,4,0.04
350,100,5,0.05
351,100,4,0.04
352,100,4,0.04
353,100,4,0.04
354,100,6,0.06
355,100,5,0.05
356,100,4,0.04
357,100,5,0.05
358,100,6,0.06
359,100,7,0.07
360,100,4,0.04
361,100,3,0.03
362,100,5,0.05
363,100,4,0.04
364,100,4,0.04
365,100,3,0.03
366,100,3,0.03
367,100,2,0.02
368,100,4,0.04
369,100,5,0.05
370,100,4,0.04
371,100,4,0.04
372,100,5,0.05
373,100,6,0.06
374,100,2,0.02
375,100,5,0.05
376,100,7,0.07
377,100,3,0.03
378,100,4,0.04
379,100,5,0.05
380,100,3,0.03
381,100,5,0.05
382,100,5,0.05
383,100,4,0.04
384,100,6,0.06
385,100,4,0.04
386,100,3,0.03
387,100,4,0.04
388,100,4,0.04
389,100,5,0.05
390,100,5,0.05
391,100,5,0.05
392,100,4,0.04
393,100,3,0.03
394,100,4,0.04
395,100,4,0.04
396,100,6,0.06
397,100,4,0.04
398,100,4,0.04
399,100,4,0.04
