Frame,Num_Receptors,Receptors_in_Cluster,Total_Receptors,Fraction_Receptors
0,100,86,100,0.86
1,100,45,100,0.45
2,100,47,100,0.47
3,100,46,100,0.46
4,100,40,100,0.4
5,100,30,100,0.3
6,100,29,100,0.29
7,100,40,100,0.4
8,100,40,100,0.4
9,100,45,100,0.45
10,100,43,100,0.43
11,100,40,100,0.4
12,100,40,100,0.4
13,100,31,100,0.31
14,100,36,100,0.36
15,100,27,100,0.27
16,100,18,100,0.18
17,100,20,100,0.2
18,100,7,100,0.07
19,100,4,100,0.04
20,100,3,100,0.03
21,100,1,100,0.01
22,100,4,100,0.04
23,100,7,100,0.07
24,100,5,100,0.05
25,100,1,100,0.01
26,100,3,100,0.03
27,100,5,100,0.05
28,100,6,100,0.06
29,100,4,100,0.04
30,100,2,100,0.02
31,100,6,100,0.06
32,100,2,100,0.02
33,100,9,100,0.09
34,100,1,100,0.01
35,100,2,100,0.02
36,100,4,100,0.04
37,100,7,100,0.07
38,100,2,100,0.02
39,100,2,100,0.02
40,100,2,100,0.02
41,100,8,100,0.08
42,100,3,100,0.03
43,100,5,100,0.05
44,100,1,100,0.01
45,100,1,100,0.01
46,100,2,100,0.02
47,100,1,100,0.01
48,100,10,100,0.1
49,100,7,100,0.07
50,100,2,100,0.02
51,100,3,100,0.03
52,100,2,100,0.02
53,100,4,100,0.04
54,100,5,100,0.05
55,100,3,100,0.03
56,100,3,100,0.03
57,100,2,100,0.02
58,100,4,100,0.04
59,100,9,100,0.09
60,100,2,100,0.02
61,100,2,100,0.02
62,100,4,100,0.04
63,100,1,100,0.01
64,100,2,100,0.02
65,100,0,100,0.0
66,100,2,100,0.02
67,100,3,100,0.03
68,100,0,100,0.0
69,100,0,100,0.0
70,100,2,100,0.02
71,100,2,100,0.02
72,100,2,100,0.02
73,100,3,100,0.03
74,100,3,100,0.03
75,100,1,100,0.01
76,100,9,100,0.09
77,100,0,100,0.0
78,100,9,100,0.09
79,100,6,100,0.06
80,100,0,100,0.0
81,100,4,100,0.04
82,100,2,100,0.02
83,100,5,100,0.05
84,100,6,100,0.06
85,100,4,100,0.04
86,100,4,100,0.04
87,100,4,100,0.04
88,100,2,100,0.02
89,100,4,100,0.04
90,100,8,100,0.08
91,100,1,100,0.01
92,100,5,100,0.05
93,100,1,100,0.01
94,100,5,100,0.05
95,100,4,100,0.04
96,100,5,100,0.05
97,100,4,100,0.04
98,100,1,100,0.01
99,100,4,100,0.04
100,100,2,100,0.02
101,100,3,100,0.03
102,100,0,100,0.0
103,100,2,100,0.02
104,100,2,100,0.02
105,100,2,100,0.02
106,100,3,100,0.03
107,100,0,100,0.0
108,100,0,100,0.0
109,100,5,100,0.05
110,100,3,100,0.03
111,100,7,100,0.07
112,100,5,100,0.05
113,100,4,100,0.04
114,100,5,100,0.05
115,100,5,100,0.05
116,100,5,100,0.05
117,100,4,100,0.04
118,100,3,100,0.03
119,100,12,100,0.12
120,100,1,100,0.01
121,100,3,100,0.03
122,100,5,100,0.05
123,100,8,100,0.08
124,100,4,100,0.04
125,100,9,100,0.09
126,100,2,100,0.02
127,100,6,100,0.06
128,100,5,100,0.05
129,100,3,100,0.03
130,100,2,100,0.02
131,100,1,100,0.01
132,100,2,100,0.02
133,100,0,100,0.0
134,100,7,100,0.07
135,100,0,100,0.0
136,100,0,100,0.0
137,100,1,100,0.01
138,100,8,100,0.08
139,100,5,100,0.05
140,100,1,100,0.01
141,100,0,100,0.0
142,100,2,100,0.02
143,100,5,100,0.05
144,100,3,100,0.03
145,100,2,100,0.02
146,100,4,100,0.04
147,100,2,100,0.02
148,100,7,100,0.07
149,100,1,100,0.01
150,100,4,100,0.04
151,100,9,100,0.09
152,100,3,100,0.03
153,100,2,100,0.02
154,100,6,100,0.06
155,100,3,100,0.03
156,100,0,100,0.0
157,100,1,100,0.01
158,100,8,100,0.08
159,100,1,100,0.01
160,100,4,100,0.04
161,100,5,100,0.05
162,100,6,100,0.06
163,100,4,100,0.04
164,100,4,100,0.04
165,100,5,100,0.05
166,100,3,100,0.03
167,100,3,100,0.03
168,100,3,100,0.03
169,100,6,100,0.06
170,100,4,100,0.04
171,100,0,100,0.0
172,100,4,100,0.04
173,100,1,100,0.01
174,100,1,100,0.01
175,100,4,100,0.04
176,100,10,100,0.1
177,100,1,100,0.01
178,100,5,100,0.05
179,100,1,100,0.01
180,100,2,100,0.02
181,100,2,100,0.02
182,100,2,100,0.02
183,100,2,100,0.02
184,100,9,100,0.09
185,100,7,100,0.07
186,100,0,100,0.0
187,100,2,100,0.02
188,100,2,100,0.02
189,100,0,100,0.0
190,100,4,100,0.04
191,100,1,100,0.01
192,100,3,100,0.03
193,100,3,100,0.03
194,100,6,100,0.06
195,100,1,100,0.01
196,100,8,100,0.08
197,100,5,100,0.05
198,100,2,100,0.02
199,100,6,100,0.06
200,100,2,100,0.02
201,100,7,100,0.07
202,100,9,100,0.09
203,100,1,100,0.01
204,100,1,100,0.01
205,100,5,100,0.05
206,100,7,100,0.07
207,100,4,100,0.04
208,100,8,100,0.08
209,100,6,100,0.06
210,100,4,100,0.04
211,100,5,100,0.05
212,100,8,100,0.08
213,100,1,100,0.01
214,100,4,100,0.04
215,100,3,100,0.03
216,100,1,100,0.01
217,100,1,100,0.01
218,100,3,100,0.03
219,100,3,100,0.03
220,100,6,100,0.06
221,100,7,100,0.07
222,100,4,100,0.04
223,100,1,100,0.01
224,100,2,100,0.02
225,100,6,100,0.06
226,100,3,100,0.03
227,100,4,100,0.04
228,100,3,100,0.03
229,100,9,100,0.09
230,100,2,100,0.02
231,100,3,100,0.03
232,100,6,100,0.06
233,100,0,100,0.0
234,100,4,100,0.04
235,100,4,100,0.04
236,100,1,100,0.01
237,100,5,100,0.05
238,100,8,100,0.08
239,100,4,100,0.04
240,100,5,100,0.05
241,100,0,100,0.0
242,100,7,100,0.07
243,100,1,100,0.01
244,100,8,100,0.08
245,100,9,100,0.09
246,100,0,100,0.0
247,100,6,100,0.06
248,100,10,100,0.1
249,100,5,100,0.05
250,100,6,100,0.06
251,100,4,100,0.04
252,100,5,100,0.05
253,100,5,100,0.05
254,100,3,100,0.03
255,100,2,100,0.02
256,100,3,100,0.03
257,100,2,100,0.02
258,100,4,100,0.04
259,100,1,100,0.01
260,100,1,100,0.01
261,100,6,100,0.06
262,100,4,100,0.04
263,100,3,100,0.03
264,100,4,100,0.04
265,100,0,100,0.0
266,100,1,100,0.01
267,100,1,100,0.01
268,100,2,100,0.02
269,100,7,100,0.07
270,100,0,100,0.0
271,100,6,100,0.06
272,100,4,100,0.04
273,100,1,100,0.01
274,100,4,100,0.04
275,100,4,100,0.04
276,100,4,100,0.04
277,100,1,100,0.01
278,100,2,100,0.02
279,100,2,100,0.02
280,100,3,100,0.03
281,100,8,100,0.08
282,100,9,100,0.09
283,100,6,100,0.06
284,100,1,100,0.01
285,100,5,100,0.05
286,100,6,100,0.06
287,100,4,100,0.04
288,100,2,100,0.02
289,100,1,100,0.01
290,100,2,100,0.02
291,100,2,100,0.02
292,100,5,100,0.05
293,100,2,100,0.02
294,100,6,100,0.06
295,100,4,100,0.04
296,100,0,100,0.0
297,100,0,100,0.0
298,100,2,100,0.02
299,100,2,100,0.02
300,100,5,100,0.05
301,100,1,100,0.01
302,100,3,100,0.03
303,100,2,100,0.02
304,100,4,100,0.04
305,100,5,100,0.05
306,100,2,100,0.02
307,100,6,100,0.06
308,100,3,100,0.03
309,100,4,100,0.04
310,100,2,100,0.02
311,100,3,100,0.03
312,100,3,100,0.03
313,100,10,100,0.1
314,100,3,100,0.03
315,100,5,100,0.05
316,100,4,100,0.04
317,100,4,100,0.04
318,100,1,100,0.01
319,100,2,100,0.02
320,100,2,100,0.02
321,100,3,100,0.03
322,100,1,100,0.01
323,100,2,100,0.02
324,100,2,100,0.02
325,100,5,100,0.05
326,100,2,100,0.02
327,100,4,100,0.04
328,100,1,100,0.01
329,100,7,100,0.07
330,100,6,100,0.06
331,100,0,100,0.0
332,100,4,100,0.04
333,100,2,100,0.02
334,100,3,100,0.03
335,100,0,100,0.0
336,100,6,100,0.06
337,100,1,100,0.01
338,100,5,100,0.05
339,100,7,100,0.07
340,100,4,100,0.04
341,100,3,100,0.03
342,100,4,100,0.04
343,100,2,100,0.02
344,100,4,100,0.04
345,100,2,100,0.02
346,100,4,100,0.04
347,100,3,100,0.03
348,100,4,100,0.04
349,100,5,100,0.05
350,100,2,100,0.02
351,100,3,100,0.03
352,100,4,100,0.04
353,100,7,100,0.07
354,100,7,100,0.07
355,100,4,100,0.04
356,100,7,100,0.07
357,100,9,100,0.09
358,100,6,100,0.06
359,100,4,100,0.04
360,100,0,100,0.0
361,100,2,100,0.02
362,100,3,100,0.03
363,100,4,100,0.04
