r,polymer_density,receptor_density
0.25,0.062070427805839185,0.038197186342054885
0.75,0.08594366926962349,0.018416500557776463
1.25,0.08041512914116818,0.010554485699778324
1.75,0.07833004091090309,0.008775029294796392
2.25,0.07310690992516242,0.0073576547462154895
2.75,0.07702399663480297,0.005351803580892304
3.25,0.07846213375577613,0.004699456981059902
3.75,0.07927611307382101,0.003983582303424363
4.25,0.07705446230983652,0.003498475016351801
4.75,0.07625342365701732,0.0029599295689415224
5.25,0.07617799889440778,0.0024522362832890216
5.75,0.07697166013512319,0.0025376594200798423
6.25,0.0776974749900221,0.0021175412471075203
6.75,0.07552149365435533,0.0020774520908155994
7.25,0.07681054646557035,0.00196736696690457
7.75,0.07679833044535549,0.0018873436386070807
8.25,0.07530152172848488,0.0016714191086027689
8.75,0.07588001993004782,0.0017093136978422274
9.25,0.07600384643621144,0.0016271926995763397
9.75,0.07461172573168696,0.0015357545341295074
10.25,0.07584534492641767,0.0014653361532885845
10.75,0.07605357226523239,0.0013184501053539132
11.25,0.0760454681676542,0.0012038777459683198
11.75,0.07431680996891503,0.0012102307078804355
12.25,0.07527295334605527,0.0012486725962734487
12.75,0.07510465477007447,0.0010939353084891423
13.25,0.07509817011009129,0.0010038771683394824
13.75,0.0754705866107205,0.0010752954066102934
14.25,0.07500331799069271,0.0010148821566056847
14.75,0.07552209875241885,0.0009856512561455181
15.25,0.07542952078976549,0.000992223579290211
15.75,0.0755539575999967,0.0008965496794259607
16.25,0.07565308932657225,0.0009190708294672404
16.75,0.0756456306886908,0.0009033118391702168
17.25,0.0760587701297883,0.0008530455364824636
17.75,0.07633123266436953,0.0007968270491218141
18.25,0.07620802163740723,0.0007203184689848354
18.75,0.07531699293186883,0.0007525814445800693
19.25,0.07561702944957953,0.0007343960945009428
19.75,0.07618221142692254,0.0006905440919026693
20.25,0.07619255865344661,0.0006927654706418205
20.75,0.0757364377925977,0.0007179991723383163
21.25,0.076022551023371,0.0006749179908196632
21.75,0.0757989083558956,0.000636675842454984
22.25,0.07579482923580197,0.0006228500971026034
22.75,0.07598924635175058,0.0006242174229139543
23.25,0.07577021640967509,0.0006028113075023692
23.75,0.07573485190500981,0.0006059126729913049
24.25,0.07608788045276234,0.0005690065487046224
24.75,0.07635605078922844,0.0005514455721059141
25.25,0.07662152887004148,0.0005741310193878332
25.75,0.07603553899313721,0.0005496516069077898
26.25,0.07625694780883148,0.0005537414092095573
26.75,0.07599124935672551,0.0005109935694705433
27.25,0.07587302459872626,0.0005572476966072421
27.75,0.07605026319780135,0.00046604618115644284
28.25,0.07571982959753779,0.00047462307347859785
28.75,0.07561937684266017,0.0004365970361458284
29.25,0.07512479151733989,0.00043388982732464696
29.75,0.07420192755429382,0.00038346436246319577
30.25,0.0723280298342908,0.00036176189596336475
30.75,0.06968579616772459,0.00030548996743998244
31.25,0.06601840476264557,0.0002623836078620546
31.75,0.06294862838874271,0.00025102722279849246
32.25,0.05927778839095857,0.00022341115319045004
32.75,0.056106476240098214,0.00018733566838957457
33.25,0.05289073729529806,0.0001846230929512527
33.75,0.04982379900021657,0.00015858441180127404
34.25,0.047259758462120986,0.0001387249521728746
34.75,0.04440050587885244,0.00012421795641221007
35.25,0.0416058196380375,0.00010951175079624748
35.75,0.038844722916934867,0.00010958311267199681
36.25,0.03630930936156538,9.446954577589832e-05
36.75,0.03370800940091655,7.600785213372432e-05
37.25,0.031014711389380945,6.308465704201005e-05
37.75,0.028817645101959336,5.388615405543969e-05
38.25,0.02639722111891206,4.568781188034148e-05
38.75,0.024163127985360116,3.842188814305691e-05
39.25,0.021680782473292984,3.667442297676606e-05
39.75,0.01946750091581352,3.14767700329417e-05
40.25,0.01735780272305354,2.4068490956749773e-05
40.75,0.015242598040032503,1.65328816279532e-05
41.25,0.01327052450710306,1.4965350444999222e-05
41.75,0.011344840089401731,1.1641586409647651e-05
42.25,0.009568688509395419,6.241078950431451e-06
42.75,0.007983945200491524,3.918821269874766e-06
43.25,0.00666519375656151,2.7651992607403746e-06
43.75,0.00564771733492582,1.6629886517503977e-06
44.25,0.004700276190992848,2.032024638361008e-06
44.75,0.0039248638165336035,7.94748165745389e-07
45.25,0.00323835064909011,0.0
45.75,0.0026417680186503994,3.8019256222931564e-07
46.25,0.002126075421177721,0.0
46.75,0.0016426450431061559,3.641017495525116e-07
47.25,0.0013038455791052664,0.0
47.75,0.0010007897357172835,3.4901124174970656e-07
48.25,0.0007289213218530268,0.0
48.75,0.0005399291961198105,0.0
49.25,0.0003718736963506992,0.0
49.75,0.0002401711911847665,0.0
50.25,0.00014575590478202357,0.0
50.75,7.925047963840778e-05,0.0
51.25,3.74167368352722e-05,0.0
51.75,1.0994304809534423e-05,0.0
