# time cluster_size count
2000000.000000 3 2
2000000.000000 5 1
2000000.000000 544 1
2050000.000000 1 33
2050000.000000 2 7
2050000.000000 3 2
2050000.000000 4 3
2050000.000000 535 1
2100000.000000 1 35
2100000.000000 2 4
2100000.000000 3 4
2100000.000000 4 1
2100000.000000 541 1
2150000.000000 1 27
2150000.000000 2 4
2150000.000000 3 2
2150000.000000 4 2
2150000.000000 551 1
2200000.000000 1 36
2200000.000000 2 3
2200000.000000 3 1
2200000.000000 4 2
2200000.000000 6 1
2200000.000000 541 1
2250000.000000 1 28
2250000.000000 2 11
2250000.000000 4 1
2250000.000000 5 1
2250000.000000 258 1
2250000.000000 283 1
2300000.000000 1 24
2300000.000000 2 7
2300000.000000 3 2
2300000.000000 4 1
2300000.000000 5 1
2300000.000000 257 1
2300000.000000 290 1
2350000.000000 1 35
2350000.000000 2 8
2350000.000000 3 2
2350000.000000 262 1
2350000.000000 281 1
2400000.000000 1 30
2400000.000000 2 12
2400000.000000 4 1
2400000.000000 263 1
2400000.000000 279 1
2450000.000000 1 36
2450000.000000 2 9
2450000.000000 3 1
2450000.000000 4 1
2450000.000000 5 2
2450000.000000 254 1
2450000.000000 275 1
2500000.000000 1 48
2500000.000000 2 2
2500000.000000 3 3
2500000.000000 5 1
2500000.000000 259 1
2500000.000000 275 1
2550000.000000 1 39
2550000.000000 2 8
2550000.000000 3 2
2550000.000000 257 1
2550000.000000 282 1
2600000.000000 1 39
2600000.000000 2 4
2600000.000000 3 3
2600000.000000 4 1
2600000.000000 262 1
2600000.000000 278 1
2650000.000000 1 37
2650000.000000 2 7
2650000.000000 3 2
2650000.000000 6 1
2650000.000000 259 1
2650000.000000 278 1
2700000.000000 1 29
2700000.000000 2 11
2700000.000000 3 3
2700000.000000 5 1
2700000.000000 256 1
2700000.000000 279 1
2750000.000000 1 38
2750000.000000 2 7
2750000.000000 3 3
2750000.000000 4 1
2750000.000000 257 1
2750000.000000 278 1
2800000.000000 1 44
2800000.000000 2 4
2800000.000000 3 2
2800000.000000 4 3
2800000.000000 251 1
2800000.000000 279 1
2850000.000000 1 46
2850000.000000 2 3
2850000.000000 3 5
2850000.000000 257 1
2850000.000000 276 1
2900000.000000 1 44
2900000.000000 2 4
2900000.000000 3 2
2900000.000000 4 1
2900000.000000 255 1
2900000.000000 283 1
2950000.000000 1 39
2950000.000000 2 7
2950000.000000 3 1
2950000.000000 6 1
2950000.000000 258 1
2950000.000000 280 1
3000000.000000 1 46
3000000.000000 2 3
3000000.000000 3 1
3000000.000000 4 1
3000000.000000 5 1
3000000.000000 258 1
3000000.000000 278 1
3050000.000000 1 43
3050000.000000 2 6
3050000.000000 3 1
3050000.000000 5 1
3050000.000000 257 1
3050000.000000 280 1
3100000.000000 1 45
3100000.000000 2 3
3100000.000000 3 2
3100000.000000 5 1
3100000.000000 259 1
3100000.000000 279 1
3150000.000000 1 41
3150000.000000 2 6
3150000.000000 3 2
3150000.000000 255 1
3150000.000000 286 1
3200000.000000 1 42
3200000.000000 2 6
3200000.000000 3 1
3200000.000000 4 1
3200000.000000 5 1
3200000.000000 534 1
3250000.000000 1 30
3250000.000000 2 7
3250000.000000 3 4
3250000.000000 544 1
3300000.000000 1 35
3300000.000000 2 6
3300000.000000 3 5
3300000.000000 262 1
3300000.000000 276 1
3350000.000000 1 38
3350000.000000 2 10
3350000.000000 3 2
3350000.000000 260 1
3350000.000000 276 1
3400000.000000 1 42
3400000.000000 2 6
3400000.000000 3 1
3400000.000000 5 1
3400000.000000 260 1
3400000.000000 278 1
3450000.000000 1 32
3450000.000000 2 13
3450000.000000 3 1
3450000.000000 4 1
3450000.000000 6 1
3450000.000000 258 1
3450000.000000 271 1
3500000.000000 1 35
3500000.000000 2 5
3500000.000000 3 3
3500000.000000 4 2
3500000.000000 5 2
3500000.000000 257 1
3500000.000000 271 1
3550000.000000 1 40
3550000.000000 2 7
3550000.000000 3 3
3550000.000000 4 1
3550000.000000 256 1
3550000.000000 277 1
3600000.000000 1 40
3600000.000000 2 10
3600000.000000 3 5
3600000.000000 4 1
3600000.000000 251 1
3600000.000000 270 1
3650000.000000 1 42
3650000.000000 2 13
3650000.000000 3 1
3650000.000000 258 1
3650000.000000 271 1
3700000.000000 1 49
3700000.000000 2 7
3700000.000000 3 1
3700000.000000 4 1
3700000.000000 6 1
3700000.000000 255 1
3700000.000000 269 1
3750000.000000 1 53
3750000.000000 2 7
3750000.000000 3 2
3750000.000000 6 1
3750000.000000 250 1
3750000.000000 271 1
3800000.000000 1 48
3800000.000000 2 5
3800000.000000 3 2
3800000.000000 4 1
3800000.000000 255 1
3800000.000000 277 1
3850000.000000 1 34
3850000.000000 2 8
3850000.000000 3 3
3850000.000000 257 1
3850000.000000 284 1
3900000.000000 1 39
3900000.000000 2 10
3900000.000000 3 4
3900000.000000 6 1
3900000.000000 249 1
3900000.000000 274 1
3950000.000000 1 39
3950000.000000 2 11
3950000.000000 3 2
3950000.000000 6 1
3950000.000000 251 1
3950000.000000 276 1
4000000.000000 1 50
4000000.000000 2 6
4000000.000000 3 4
4000000.000000 7 1
4000000.000000 244 1
4000000.000000 275 1
4050000.000000 1 45
4050000.000000 2 9
4050000.000000 3 1
4050000.000000 4 1
4050000.000000 530 1
4100000.000000 1 35
4100000.000000 2 11
4100000.000000 3 3
4100000.000000 5 1
4100000.000000 254 1
4100000.000000 275 1
4150000.000000 1 49
4150000.000000 2 8
4150000.000000 3 2
4150000.000000 4 1
4150000.000000 243 1
4150000.000000 282 1
4200000.000000 1 40
4200000.000000 2 8
4200000.000000 3 4
4200000.000000 5 1
4200000.000000 250 1
4200000.000000 277 1
4250000.000000 1 40
4250000.000000 2 11
4250000.000000 3 1
4250000.000000 4 1
4250000.000000 5 1
4250000.000000 248 1
4250000.000000 278 1
4300000.000000 1 40
4300000.000000 2 7
4300000.000000 3 2
4300000.000000 4 2
4300000.000000 7 1
4300000.000000 244 1
4300000.000000 281 1
4350000.000000 1 46
4350000.000000 2 8
4350000.000000 3 1
4350000.000000 4 1
4350000.000000 5 2
4350000.000000 243 1
4350000.000000 278 1
4400000.000000 1 45
4400000.000000 2 5
4400000.000000 3 1
4400000.000000 5 1
4400000.000000 6 1
4400000.000000 246 1
4400000.000000 285 1
4450000.000000 1 42
4450000.000000 2 8
4450000.000000 3 2
4450000.000000 4 1
4450000.000000 5 1
4450000.000000 246 1
4450000.000000 281 1
4500000.000000 1 47
4500000.000000 2 5
4500000.000000 3 2
4500000.000000 5 1
4500000.000000 248 1
4500000.000000 284 1
4550000.000000 1 50
4550000.000000 2 8
4550000.000000 534 1
4600000.000000 1 51
4600000.000000 2 13
4600000.000000 3 1
4600000.000000 249 1
4600000.000000 271 1
4650000.000000 1 47
4650000.000000 2 6
4650000.000000 3 5
4650000.000000 4 1
4650000.000000 5 1
4650000.000000 250 1
4650000.000000 267 1
4700000.000000 1 29
4700000.000000 2 7
4700000.000000 3 5
4700000.000000 4 4
4700000.000000 5 1
4700000.000000 250 1
4700000.000000 271 1
4750000.000000 1 50
4750000.000000 2 7
4750000.000000 3 4
