Frame,TotalReceptors,LargestClusterSize,FractionInCluster
0,100,79,0.79
1,100,92,0.92
2,100,90,0.9
3,100,93,0.93
4,100,93,0.93
5,100,93,0.93
6,100,94,0.94
7,100,92,0.92
8,100,93,0.93
9,100,89,0.89
10,100,94,0.94
11,100,91,0.91
12,100,88,0.88
13,100,91,0.91
14,100,94,0.94
15,100,88,0.88
16,100,91,0.91
17,100,91,0.91
18,100,95,0.95
19,100,89,0.89
20,100,91,0.91
21,100,93,0.93
22,100,93,0.93
23,100,92,0.92
24,100,99,0.99
25,100,95,0.95
26,100,91,0.91
27,100,92,0.92
28,100,92,0.92
29,100,94,0.94
30,100,93,0.93
31,100,95,0.95
32,100,92,0.92
33,100,90,0.9
34,100,90,0.9
35,100,91,0.91
36,100,90,0.9
37,100,91,0.91
38,100,95,0.95
39,100,89,0.89
40,100,90,0.9
41,100,94,0.94
42,100,89,0.89
43,100,85,0.85
44,100,87,0.87
45,100,84,0.84
46,100,88,0.88
47,100,90,0.9
48,100,90,0.9
49,100,90,0.9
50,100,92,0.92
51,100,85,0.85
52,100,92,0.92
53,100,86,0.86
54,100,91,0.91
55,100,95,0.95
56,100,90,0.9
57,100,91,0.91
58,100,93,0.93
59,100,94,0.94
60,100,88,0.88
61,100,90,0.9
62,100,86,0.86
63,100,95,0.95
64,100,96,0.96
65,100,93,0.93
66,100,92,0.92
67,100,92,0.92
68,100,87,0.87
69,100,86,0.86
70,100,90,0.9
71,100,91,0.91
72,100,92,0.92
73,100,90,0.9
74,100,91,0.91
75,100,92,0.92
76,100,93,0.93
77,100,95,0.95
78,100,92,0.92
79,100,86,0.86
80,100,92,0.92
81,100,92,0.92
82,100,92,0.92
83,100,94,0.94
84,100,95,0.95
85,100,90,0.9
86,100,91,0.91
87,100,90,0.9
88,100,91,0.91
89,100,93,0.93
90,100,92,0.92
91,100,94,0.94
92,100,92,0.92
93,100,93,0.93
94,100,83,0.83
95,100,86,0.86
96,100,91,0.91
97,100,93,0.93
98,100,91,0.91
99,100,92,0.92
100,100,87,0.87
101,100,81,0.81
102,100,87,0.87
103,100,91,0.91
104,100,93,0.93
105,100,93,0.93
106,100,89,0.89
107,100,94,0.94
108,100,90,0.9
109,100,91,0.91
110,100,88,0.88
111,100,93,0.93
112,100,84,0.84
113,100,91,0.91
114,100,88,0.88
115,100,91,0.91
116,100,87,0.87
117,100,92,0.92
118,100,94,0.94
119,100,91,0.91
120,100,90,0.9
121,100,94,0.94
122,100,93,0.93
123,100,91,0.91
124,100,92,0.92
125,100,88,0.88
126,100,90,0.9
127,100,93,0.93
128,100,89,0.89
129,100,91,0.91
130,100,95,0.95
131,100,93,0.93
132,100,98,0.98
133,100,93,0.93
134,100,91,0.91
135,100,93,0.93
136,100,90,0.9
137,100,89,0.89
138,100,87,0.87
139,100,90,0.9
140,100,85,0.85
141,100,96,0.96
142,100,91,0.91
143,100,90,0.9
144,100,92,0.92
145,100,92,0.92
146,100,88,0.88
147,100,89,0.89
148,100,89,0.89
149,100,86,0.86
150,100,89,0.89
151,100,89,0.89
152,100,95,0.95
153,100,90,0.9
154,100,89,0.89
155,100,89,0.89
156,100,93,0.93
157,100,93,0.93
158,100,91,0.91
159,100,91,0.91
160,100,95,0.95
161,100,95,0.95
162,100,95,0.95
163,100,95,0.95
164,100,92,0.92
165,100,97,0.97
166,100,93,0.93
167,100,94,0.94
168,100,94,0.94
169,100,93,0.93
170,100,91,0.91
171,100,90,0.9
172,100,95,0.95
173,100,93,0.93
174,100,92,0.92
175,100,93,0.93
176,100,88,0.88
177,100,87,0.87
178,100,96,0.96
179,100,88,0.88
180,100,90,0.9
181,100,92,0.92
182,100,93,0.93
183,100,91,0.91
184,100,90,0.9
185,100,94,0.94
186,100,90,0.9
187,100,92,0.92
188,100,94,0.94
189,100,92,0.92
190,100,90,0.9
191,100,87,0.87
192,100,93,0.93
193,100,94,0.94
194,100,96,0.96
195,100,91,0.91
196,100,90,0.9
197,100,86,0.86
198,100,87,0.87
199,100,91,0.91
200,100,93,0.93
201,100,91,0.91
202,100,92,0.92
203,100,92,0.92
204,100,81,0.81
205,100,88,0.88
206,100,91,0.91
207,100,91,0.91
208,100,91,0.91
209,100,95,0.95
210,100,91,0.91
211,100,92,0.92
212,100,91,0.91
213,100,92,0.92
214,100,93,0.93
215,100,92,0.92
216,100,95,0.95
217,100,91,0.91
218,100,94,0.94
219,100,93,0.93
220,100,91,0.91
221,100,90,0.9
222,100,90,0.9
223,100,94,0.94
224,100,93,0.93
225,100,91,0.91
226,100,90,0.9
227,100,95,0.95
228,100,93,0.93
229,100,90,0.9
230,100,89,0.89
231,100,94,0.94
232,100,89,0.89
233,100,94,0.94
234,100,93,0.93
235,100,88,0.88
236,100,91,0.91
237,100,86,0.86
238,100,91,0.91
239,100,83,0.83
240,100,89,0.89
241,100,90,0.9
242,100,89,0.89
243,100,89,0.89
244,100,94,0.94
245,100,93,0.93
246,100,94,0.94
247,100,89,0.89
248,100,91,0.91
249,100,94,0.94
250,100,93,0.93
251,100,92,0.92
252,100,91,0.91
253,100,91,0.91
254,100,91,0.91
255,100,88,0.88
256,100,94,0.94
257,100,96,0.96
258,100,90,0.9
259,100,86,0.86
260,100,93,0.93
261,100,90,0.9
262,100,91,0.91
263,100,87,0.87
264,100,94,0.94
265,100,93,0.93
266,100,91,0.91
267,100,90,0.9
268,100,88,0.88
269,100,89,0.89
270,100,97,0.97
271,100,94,0.94
272,100,88,0.88
273,100,91,0.91
274,100,91,0.91
275,100,94,0.94
276,100,92,0.92
277,100,95,0.95
278,100,95,0.95
279,100,94,0.94
280,100,91,0.91
281,100,92,0.92
282,100,97,0.97
283,100,93,0.93
284,100,89,0.89
285,100,91,0.91
286,100,97,0.97
287,100,93,0.93
288,100,97,0.97
289,100,90,0.9
290,100,96,0.96
291,100,93,0.93
292,100,93,0.93
293,100,91,0.91
294,100,92,0.92
295,100,94,0.94
296,100,83,0.83
297,100,91,0.91
298,100,96,0.96
299,100,88,0.88
300,100,91,0.91
301,100,85,0.85
302,100,88,0.88
303,100,85,0.85
304,100,89,0.89
305,100,86,0.86
306,100,89,0.89
307,100,94,0.94
308,100,87,0.87
309,100,89,0.89
310,100,94,0.94
311,100,85,0.85
312,100,90,0.9
313,100,91,0.91
314,100,92,0.92
315,100,92,0.92
316,100,88,0.88
317,100,89,0.89
318,100,90,0.9
319,100,94,0.94
320,100,95,0.95
321,100,95,0.95
322,100,87,0.87
323,100,88,0.88
324,100,88,0.88
325,100,92,0.92
326,100,91,0.91
327,100,88,0.88
328,100,87,0.87
329,100,88,0.88
330,100,88,0.88
331,100,91,0.91
332,100,94,0.94
333,100,90,0.9
334,100,93,0.93
335,100,91,0.91
336,100,93,0.93
337,100,90,0.9
338,100,90,0.9
339,100,94,0.94
340,100,88,0.88
341,100,98,0.98
342,100,97,0.97
343,100,94,0.94
344,100,91,0.91
345,100,91,0.91
346,100,88,0.88
347,100,90,0.9
348,100,90,0.9
349,100,89,0.89
350,100,86,0.86
351,100,93,0.93
352,100,92,0.92
353,100,92,0.92
354,100,87,0.87
355,100,87,0.87
356,100,89,0.89
357,100,92,0.92
358,100,87,0.87
359,100,91,0.91
360,100,81,0.81
361,100,86,0.86
362,100,95,0.95
363,100,91,0.91
364,100,93,0.93
365,100,93,0.93
366,100,86,0.86
367,100,98,0.98
368,100,96,0.96
369,100,87,0.87
370,100,93,0.93
371,100,89,0.89
372,100,92,0.92
373,100,94,0.94
374,100,93,0.93
375,100,91,0.91
376,100,92,0.92
377,100,91,0.91
378,100,96,0.96
379,100,91,0.91
380,100,88,0.88
381,100,97,0.97
382,100,96,0.96
383,100,92,0.92
384,100,89,0.89
385,100,95,0.95
386,100,96,0.96
387,100,85,0.85
388,100,85,0.85
389,100,94,0.94
390,100,91,0.91
391,100,96,0.96
392,100,95,0.95
393,100,94,0.94
394,100,94,0.94
395,100,96,0.96
396,100,90,0.9
397,100,97,0.97
398,100,92,0.92
399,100,87,0.87
