Frame,Num_Receptors,Receptors_in_Cluster,Total_Receptors,Fraction_Receptors
0,300,289,300,0.9633333333333334
1,300,261,300,0.87
2,300,254,300,0.8466666666666667
3,300,241,300,0.8033333333333333
4,300,243,300,0.81
5,300,238,300,0.7933333333333333
6,300,247,300,0.8233333333333334
7,300,240,300,0.8
8,300,245,300,0.8166666666666667
9,300,245,300,0.8166666666666667
10,300,233,300,0.7766666666666666
11,300,244,300,0.8133333333333334
12,300,235,300,0.7833333333333333
13,300,253,300,0.8433333333333334
14,300,250,300,0.8333333333333334
15,300,247,300,0.8233333333333334
16,300,250,300,0.8333333333333334
17,300,257,300,0.8566666666666667
18,300,252,300,0.84
19,300,256,300,0.8533333333333334
20,300,264,300,0.88
21,300,253,300,0.8433333333333334
22,300,247,300,0.8233333333333334
23,300,255,300,0.85
24,300,248,300,0.8266666666666667
25,300,251,300,0.8366666666666667
26,300,246,300,0.82
27,300,233,300,0.7766666666666666
28,300,236,300,0.7866666666666666
29,300,238,300,0.7933333333333333
30,300,240,300,0.8
31,300,251,300,0.8366666666666667
32,300,246,300,0.82
33,300,263,300,0.8766666666666667
34,300,259,300,0.8633333333333333
35,300,244,300,0.8133333333333334
36,300,247,300,0.8233333333333334
37,300,249,300,0.83
38,300,245,300,0.8166666666666667
39,300,251,300,0.8366666666666667
40,300,248,300,0.8266666666666667
41,300,254,300,0.8466666666666667
42,300,255,300,0.85
43,300,258,300,0.86
44,300,249,300,0.83
45,300,241,300,0.8033333333333333
46,300,242,300,0.8066666666666666
47,300,236,300,0.7866666666666666
48,300,245,300,0.8166666666666667
49,300,260,300,0.8666666666666667
50,300,250,300,0.8333333333333334
51,300,251,300,0.8366666666666667
52,300,251,300,0.8366666666666667
53,300,242,300,0.8066666666666666
54,300,247,300,0.8233333333333334
55,300,249,300,0.83
56,300,253,300,0.8433333333333334
57,300,251,300,0.8366666666666667
58,300,255,300,0.85
59,300,257,300,0.8566666666666667
60,300,238,300,0.7933333333333333
61,300,254,300,0.8466666666666667
62,300,247,300,0.8233333333333334
63,300,239,300,0.7966666666666666
64,300,244,300,0.8133333333333334
65,300,253,300,0.8433333333333334
66,300,248,300,0.8266666666666667
67,300,256,300,0.8533333333333334
68,300,251,300,0.8366666666666667
69,300,254,300,0.8466666666666667
70,300,254,300,0.8466666666666667
71,300,252,300,0.84
72,300,259,300,0.8633333333333333
73,300,253,300,0.8433333333333334
74,300,248,300,0.8266666666666667
75,300,249,300,0.83
76,300,249,300,0.83
77,300,246,300,0.82
78,300,246,300,0.82
79,300,251,300,0.8366666666666667
