Radius(Å),rho_cluster(atoms/Å³),rho_all(atoms/Å³),drho_cluster_raw(atoms/Å⁴),drho_cluster_smoothed(atoms/Å⁴),drho_cluster_plot_flipped(atoms/Å⁴),drho_all_raw(atoms/Å⁴),drho_all_smoothed(atoms/Å⁴),drho_all_plot_flipped(atoms/Å⁴)
0.5,0.0712008955937426,0.0717992224474716,0.0023933074149156963,0.002976424862029869,-0.002976424862029869,0.0016240300315499001,0.002438285755303914,-0.002438285755303914
1.5,0.0735942030086583,0.0734232524790215,0.002739707172337749,0.0018407475809571632,-0.0018407475809571632,0.00297588882512545,0.001643092577529075,-0.001643092577529075
2.5,0.0766803099384181,0.0777510000977225,0.0014473041461821531,0.0009888706820162388,-0.0009888706820162388,0.0016298053872809484,0.000986788704141589,-0.000986788704141589
3.5,0.0764888113010226,0.0766828632535834,-0.0004493904453590006,0.000385932891776596,-0.000385932891776596,-0.0010681089390553455,0.0004665314400635139,-0.0004665314400635139
4.5,0.0757815290477001,0.0756147822196118,-0.00021777533687104833,-2.927063192262845e-06,2.927063192262845e-06,-2.2212906657596843e-05,7.947809021690601e-05,-7.947809021690601e-05
5.5,0.0760532606272805,0.0766384374402682,0.0001642367438305023,-0.00021257045632083673,0.00021257045632083673,0.0006245089633731965,-0.00017721404047617658,0.00017721404047617658
6.5,0.0761100025353611,0.0768638001463582,-0.0005975681975323027,-0.0003766348699427227,0.0003766348699427227,-0.0008618334393526023,-0.00040320890982035567,0.00040320890982035567
7.5,0.0748581242322159,0.074914770561563,-0.00040038984856014675,-0.0002484042902442942,0.0002484042902442942,-0.0006132312909394519,-0.00024054242946382917,0.00024054242946382917
8.5,0.0753092228382408,0.0756373375644793,0.00034170043063620065,-7.037228384149673e-06,7.037228384149673e-06,0.00043812068749650435,3.464836278676741e-05,-3.464836278676741e-05
9.5,0.0755415250934883,0.075791011936556,0.00023520483771369977,3.478005691811505e-05,-3.478005691811505e-05,0.0002555261425109534,2.503047680976666e-06,-2.503047680976666e-06
10.5,0.0757796325136682,0.0761483898495012,-5.507107428454755e-05,9.157989653485579e-05,-9.157989653485579e-05,8.167091758709555e-05,5.833255627587916e-05,-5.833255627587916e-05
11.5,0.0754313829449192,0.0759543537717302,4.397869455789738e-05,0.00015098338004387806,-0.00015098338004387806,-4.344295654964969e-05,0.00021113168300067336,-0.00021113168300067336
12.5,0.075867589902784,0.0760615039364019,0.00025673398860034946,8.35455196242702e-05,-8.35455196242702e-05,0.00021346833263344994,0.0001535876141686385,-0.0001535876141686385
13.5,0.0759448509221199,0.0763812904369971,5.911717348199008e-06,1.8386915293326798e-05,-1.8386915293326798e-05,0.0001663964450517516,3.300212694478607e-05,-3.300212694478607e-05
14.5,0.0758794133374804,0.0763942968265054,-3.56595747245253e-06,1.0434992399756348e-05,-1.0434992399756348e-05,-1.6396122264845936e-05,1.4787638263445398e-05,-1.4787638263445398e-05
15.5,0.075937719007175,0.0763484981924674,-0.00022570770924745104,8.193374992320766e-07,-8.193374992320766e-07,-0.00013967908117875488,-8.519185339271214e-06,8.519185339271214e-06
16.5,0.0754279979189855,0.0761149386641479,9.651263302019875e-05,-2.6610130407544285e-05,2.6610130407544285e-05,6.300365994355017e-05,-3.1492431758758794e-06,3.1492431758758794e-06
17.5,0.0761307442732154,0.0764745055123545,0.0001646933958079494,5.015028235508385e-06,-5.015028235508385e-06,-1.0406518421095245e-05,1.64779816410673e-05,-1.64779816410673e-05
18.5,0.0757573847106014,0.0760941256273057,-0.0001531592786811961,5.128188523088082e-05,-5.128188523088082e-05,-7.307140288115299e-05,3.099217828603023e-05,-3.099217828603023e-05
19.5,0.075824425715853,0.0763283627065922,-1.186215015297476e-06,2.8518008026830825e-05,-2.8518008026830825e-05,5.6298665550048865e-05,3.72123628029654e-05,-3.72123628029654e-05
20.5,0.0757550122805708,0.0762067229584058,0.00016846582972669666,3.723775591962546e-05,-3.723775591962546e-05,0.0002570734345870504,3.9211326793052025e-05,-3.9211326793052025e-05
21.5,0.0761613573753064,0.0768425095757663,0.00018104483676725097,-2.2158766759382058e-05,2.2158766759382058e-05,0.00010486968508934685,-8.062529215997575e-06,8.062529215997575e-06
22.5,0.0761171019541053,0.0764164623285845,-0.0002281098366434947,-3.867714390741954e-05,3.867714390741954e-05,-0.00025688434472199984,-5.1711412460207255e-06,5.1711412460207255e-06
23.5,0.0757051377020194,0.0763287408863223,-0.00021877938364620042,4.3376762013976576e-05,-4.3376762013976576e-05,-0.00010667080867679535,6.221178556944918e-05,-6.221178556944918e-05
24.5,0.0756795431868129,0.0762031207112309,8.721120636609458e-05,0.00013807913978429746,-0.00013807913978429746,2.3971333818602336e-05,0.00016185448218179505,-0.00016185448218179505
25.5,0.0758795601147516,0.0763766835539595,-0.00013282707087725054,0.00017198201293085422,-0.00017198201293085422,-6.975303258035387e-05,0.00021812521305037162,-0.00021812521305037162
26.5,0.0754138890450584,0.0760636146460702,-1.8277625633597583e-05,-9.490244302587348e-05,9.490244302587348e-05,0.00011617949788334664,-1.3412124573673408e-05,1.3412124573673408e-05
27.5,0.0758430048634844,0.0766090425497262,-7.238183721135216e-05,-0.0007718906195550502,0.0007718906195550502,-3.4246585506249316e-05,-0.0007130648266036293,0.0007130648266036293
28.5,0.0752691253706357,0.0759951214750577,-0.0009757931278561033,-0.0018381552442123267,0.0018381552442123267,-0.000946445378374447,-0.0018047514953132904,0.0018047514953132904
29.5,0.0738914186077722,0.0747161517929773,-0.0027903305733367953,-0.0030877113031063967,0.0030877113031063967,-0.002693167897662052,-0.00305678767716743,0.00305678767716743
30.5,0.0696884642239621,0.0706087856797336,-0.005067268562508949,-0.004313221298510538,0.004313221298510538,-0.0050897278335683,-0.004325676379316597,0.004325676379316597
31.5,0.0637568814827543,0.0645366961258407,-0.006278892203021903,-0.005364581171576271,0.005364581171576271,-0.006427239488517849,-0.005402486365854875,0.005402486365854875
32.5,0.0571306798179183,0.0577543067026979,-0.006385842841603647,-0.006053585900878129,0.006053585900878129,-0.0063882682194118,-0.00609847452663758,0.00609847452663758
33.5,0.050985195799547,0.0517601596870171,-0.006127077584372899,-0.006272571626640008,0.006272571626640008,-0.006154974797795001,-0.00632676014376571,0.00632676014376571
34.5,0.0448765246491725,0.0454443571071079,-0.0058562891290545,-0.006046313966063672,0.006046313966063672,-0.005946348348223652,-0.00610491082074595,0.00610491082074595
35.5,0.039272617541438,0.0398674629905698,-0.005312447247206999,-0.005593038947112072,0.005593038947112072,-0.005326839458126398,-0.005634445274091891,0.005634445274091891
36.5,0.0342516301547585,0.0347906781908551,-0.0050887691897551005,-0.005182999648024694,0.005182999648024694,-0.00513184272916745,-0.005214278479838458,0.005214278479838458
37.5,0.0290950791619278,0.0296037775322349,-0.004879892864107602,-0.004886050112615643,0.004886050112615643,-0.00491826654828895,-0.0049346807516910405,0.0049346807516910405
38.5,0.0244918444265433,0.0249541450942772,-0.004535758450430751,-0.004632201997254207,0.004632201997254207,-0.00458144098557095,-0.004685009731591822,0.004685009731591822
39.5,0.0200235622610663,0.020440895561093,-0.004360312291417699,-0.004328578554530756,0.004328578554530756,-0.0044129737365884,-0.004383908377272218,0.004383908377272218
40.5,0.0157712198437079,0.0161281976211004,-0.004059488485129399,-0.003951253446570728,0.003951253446570728,-0.0041258976279227,-0.00401583949658624,0.00401583949658624
41.5,0.0119045852908075,0.0121891003052476,-0.003667068844086651,-0.0034523746456432605,0.0034523746456432605,-0.0037514308380045503,-0.0035135926842151544,0.0035135926842151544
42.5,0.0084370821555346,0.0086253359450913,-0.00301741353101895,-0.0028885434666042755,0.0028885434666042755,-0.0030852622380394996,-0.002946656824985531,0.002946656824985531
43.5,0.0058697582287696,0.0060185758291686,-0.0021739471338221997,-0.002307881421753061,0.002307881421753061,-0.00221212880603765,-0.002358546316943243,0.002358546316943243
44.5,0.0040891878878902,0.004201078333016,-0.00155755208311945,-0.0017308709893775164,0.0017308709893775164,-0.00158384234146775,-0.0017718451430035096,0.0017718451430035096
45.5,0.0027546540625307,0.0028508911462331,-0.0011281494212612,-0.001228119618633447,0.001228119618633447,-0.0011565164521692498,-0.0012578115308292466,0.0012578115308292466
46.5,0.0018328890453678,0.0018880454286775,-0.0008224007515031999,-0.0008263175047509545,0.0008263175047509545,-0.0008504100661091001,-0.0008465105518703545,0.0008465105518703545
