# time number_of_clusters
17900000.000000 9.0000000000
17950000.000000 5.0000000000
18000000.000000 10.0000000000
18050000.000000 6.0000000000
18100000.000000 12.0000000000
18150000.000000 6.0000000000
18200000.000000 9.0000000000
18250000.000000 9.0000000000
18300000.000000 8.0000000000
18350000.000000 8.0000000000
18400000.000000 8.0000000000
18450000.000000 7.0000000000
18500000.000000 10.0000000000
18550000.000000 5.0000000000
18600000.000000 13.0000000000
18650000.000000 8.0000000000
18700000.000000 8.0000000000
18750000.000000 5.0000000000
18800000.000000 9.0000000000
18850000.000000 13.0000000000
18900000.000000 8.0000000000
18950000.000000 10.0000000000
19000000.000000 13.0000000000
19050000.000000 7.0000000000
19100000.000000 14.0000000000
19150000.000000 8.0000000000
19200000.000000 6.0000000000
19250000.000000 6.0000000000
19300000.000000 12.0000000000
19350000.000000 8.0000000000
19400000.000000 8.0000000000
19450000.000000 9.0000000000
19500000.000000 7.0000000000
19550000.000000 9.0000000000
19600000.000000 6.0000000000
19650000.000000 7.0000000000
19700000.000000 6.0000000000
19750000.000000 12.0000000000
19800000.000000 13.0000000000
19850000.000000 6.0000000000
19900000.000000 8.0000000000
19950000.000000 8.0000000000
20000000.000000 10.0000000000
20050000.000000 8.0000000000
20100000.000000 1.0000000000
