# cluster_size probability
1.000000000000000000e+00 7.585442726287796589e-01
2.000000000000000000e+00 1.370038412291933461e-01
3.000000000000000000e+00 3.782133359598148503e-02
4.000000000000000000e+00 1.516793066088840784e-02
5.000000000000000000e+00 6.746774352408155262e-03
6.000000000000000000e+00 2.610065990347680553e-03
7.000000000000000000e+00 1.871368068551167120e-03
8.000000000000000000e+00 1.526642371712794155e-03
9.000000000000000000e+00 7.879444499162809382e-04
1.000000000000000000e+01 3.939722249581404691e-04
1.100000000000000000e+01 3.939722249581404691e-04
1.200000000000000000e+01 4.432187530779080277e-04
1.300000000000000000e+01 2.954791687186053518e-04
1.400000000000000000e+01 2.954791687186053518e-04
1.500000000000000000e+01 1.969861124790702345e-04
1.600000000000000000e+01 1.969861124790702345e-04
1.700000000000000000e+01 9.849305623953511727e-05
1.800000000000000000e+01 1.969861124790702345e-04
1.900000000000000000e+01 1.969861124790702345e-04
2.000000000000000000e+01 2.954791687186053518e-04
2.100000000000000000e+01 9.849305623953511727e-05
2.200000000000000000e+01 9.849305623953511727e-05
2.300000000000000000e+01 4.924652811976755864e-05
2.400000000000000000e+01 9.849305623953511727e-05
2.500000000000000000e+01 2.462326405988377932e-04
2.600000000000000000e+01 1.969861124790702345e-04
2.700000000000000000e+01 1.477395843593026759e-04
2.800000000000000000e+01 9.849305623953511727e-05
2.900000000000000000e+01 4.924652811976755864e-05
3.000000000000000000e+01 9.849305623953511727e-05
3.200000000000000000e+01 9.849305623953511727e-05
3.300000000000000000e+01 1.477395843593026759e-04
3.400000000000000000e+01 2.954791687186053518e-04
3.500000000000000000e+01 3.939722249581404691e-04
3.600000000000000000e+01 5.909583374372107036e-04
3.700000000000000000e+01 7.386979217965133253e-04
3.800000000000000000e+01 7.879444499162809382e-04
3.900000000000000000e+01 5.417118093174430908e-04
4.000000000000000000e+01 6.894513936767458209e-04
4.100000000000000000e+01 5.909583374372107036e-04
4.200000000000000000e+01 4.432187530779080277e-04
4.300000000000000000e+01 5.909583374372107036e-04
4.400000000000000000e+01 2.954791687186053518e-04
4.500000000000000000e+01 3.447256968383729104e-04
4.600000000000000000e+01 4.432187530779080277e-04
4.700000000000000000e+01 3.939722249581404691e-04
4.800000000000000000e+01 3.447256968383729104e-04
4.900000000000000000e+01 2.954791687186053518e-04
5.000000000000000000e+01 8.864375061558160554e-04
5.100000000000000000e+01 6.402048655569782080e-04
5.200000000000000000e+01 4.924652811976755864e-04
5.300000000000000000e+01 2.462326405988377932e-04
5.400000000000000000e+01 3.447256968383729104e-04
5.500000000000000000e+01 1.969861124790702345e-04
5.600000000000000000e+01 1.477395843593026759e-04
5.700000000000000000e+01 1.969861124790702345e-04
