# cluster_size probability
1.000000000000000000e+00 8.704248558314698903e-01
2.000000000000000000e+00 7.167235494880545843e-02
3.000000000000000000e+00 8.708956102153700765e-03
4.000000000000000000e+00 2.118394727550900174e-03
5.650000000000000000e+02 1.176885959750500202e-04
5.670000000000000000e+02 8.238201718253501281e-04
5.680000000000000000e+02 4.707543839002000809e-04
5.690000000000000000e+02 8.238201718253501281e-04
5.700000000000000000e+02 8.238201718253501281e-04
5.710000000000000000e+02 2.353771919501000242e-03
5.720000000000000000e+02 2.353771919501000242e-03
5.730000000000000000e+02 2.942214899376250411e-03
5.740000000000000000e+02 3.059903495351300445e-03
5.750000000000000000e+02 3.648346475226550614e-03
5.760000000000000000e+02 2.942214899376250411e-03
5.770000000000000000e+02 3.295280687301400512e-03
5.780000000000000000e+02 4.707543839002000484e-03
5.790000000000000000e+02 2.236083323525950208e-03
5.800000000000000000e+02 2.942214899376250411e-03
5.810000000000000000e+02 2.000706131575850141e-03
5.820000000000000000e+02 3.177592091326350478e-03
5.830000000000000000e+02 1.647640343650700256e-03
5.840000000000000000e+02 1.883017535600800324e-03
5.850000000000000000e+02 1.529951747675650222e-03
5.860000000000000000e+02 9.415087678004001618e-04
5.870000000000000000e+02 4.707543839002000809e-04
5.890000000000000000e+02 8.238201718253501281e-04
5.900000000000000000e+02 4.707543839002000809e-04
5.920000000000000000e+02 2.353771919501000405e-04
5.970000000000000000e+02 1.176885959750500202e-04
6.000000000000000000e+02 2.353771919501000405e-04
