# time_ps largest_cluster_rg_nm
6100000.000000 0.2889564286
6150000.000000 0.2759528737
6200000.000000 0.2790607346
6250000.000000 0.2789534709
6300000.000000 0.2800601545
6350000.000000 0.2734574148
6400000.000000 0.2893454414
6450000.000000 0.2885142807
6500000.000000 0.2738203213
6550000.000000 0.2890782145
6600000.000000 0.2891250675
6650000.000000 0.2852426084
6700000.000000 0.3022099295
6750000.000000 0.2939779775
6800000.000000 0.2952169626
6850000.000000 0.2897986532
6900000.000000 0.2784202568
6950000.000000 0.2890137469
7000000.000000 0.3026020348
7050000.000000 0.2875076622
7100000.000000 0.2833449500
7150000.000000 0.2980337164
7200000.000000 0.2817715665
7250000.000000 0.3048315304
7300000.000000 0.2860837124
7350000.000000 0.2973013531
7400000.000000 0.2798301977
7450000.000000 0.2992354977
7500000.000000 0.2866409985
7550000.000000 0.2778334165
7600000.000000 0.2878482447
7650000.000000 0.2947612389
7700000.000000 0.2917863075
7750000.000000 0.3053357608
7800000.000000 0.2813465840
7850000.000000 0.2889435188
7900000.000000 0.2888526070
7950000.000000 0.2953424219
8000000.000000 0.2947257341
8050000.000000 0.3036221918
8100000.000000 0.2977943265
8150000.000000 0.3066349101
8200000.000000 0.2996156776
8250000.000000 0.3031431218
8300000.000000 0.2925077051
8350000.000000 0.2981463697
8400000.000000 0.2849047036
8450000.000000 0.2976968101
8500000.000000 0.2790839679
8550000.000000 0.2955757538
8600000.000000 0.2819853281
8650000.000000 0.2896079953
8700000.000000 0.2987032012
8750000.000000 0.2848387044
8800000.000000 0.2793567906
8850000.000000 0.3056993132
8900000.000000 0.2908338250
8950000.000000 0.3006377203
9000000.000000 0.3070683986
9050000.000000 0.3025741233
9100000.000000 0.3072625084
9150000.000000 0.3030108876
9200000.000000 0.3059403923
9250000.000000 0.2864551107
9300000.000000 0.3093507158
9350000.000000 0.2939554765
9400000.000000 0.2995818589
9450000.000000 0.3011038887
9500000.000000 0.3090648841
9550000.000000 0.3039830135
9600000.000000 0.3078752997
9650000.000000 0.2997430134
9700000.000000 0.2918333382
9750000.000000 0.2962803811
9800000.000000 0.2839682093
9850000.000000 0.3047936299
9900000.000000 0.3253994019
9950000.000000 0.3204579878
10000000.000000 0.3040153902
10050000.000000 0.3056940002
10100000.000000 0.3033077175
10150000.000000 0.3070022835
10200000.000000 0.2989563672
10250000.000000 0.3023949429
10300000.000000 0.3012485395
10350000.000000 0.2935362142
10400000.000000 0.3024165348
10450000.000000 0.2978389857
10500000.000000 0.3013147243
10550000.000000 0.3057048719
10600000.000000 0.3083422636
10650000.000000 0.3039638060
10700000.000000 0.2914178097
10750000.000000 0.3014354119
10800000.000000 0.3255325255
10850000.000000 0.2822433908
10900000.000000 0.2882354417
10950000.000000 0.2944735282
11000000.000000 0.0681242459
11050000.000000 0.3032608555
11100000.000000 0.2905798851
11150000.000000 0.3040870538
11200000.000000 0.2986743404
11250000.000000 0.3033649131
11300000.000000 0.2998581236
11350000.000000 0.2949843896
11400000.000000 0.3006154336
11450000.000000 0.2856377847
11500000.000000 0.3010975099
11550000.000000 0.2863785009
