# time_ps  contacts_rectype3  contacts_rectype4  wall_dist_rectype3_Ang  wall_dist_rectype4_Ang  same_cluster
50000.000000  2  2  33.002602  33.020905  1
100000.000000  1  1  33.006104  33.034805  1
150000.000000  2  2  32.956604  32.951401  1
200000.000000  2  2  32.971802  32.979401  1
250000.000000  2  2  32.982300  32.982498  1
300000.000000  2  2  32.955505  32.982605  1
350000.000000  2  2  32.986801  32.990601  1
400000.000000  2  2  33.050201  32.992096  1
450000.000000  2  2  32.994003  32.986694  1
500000.000000  2  2  32.991402  32.945099  1
550000.000000  2  2  33.033905  32.984200  1
600000.000000  2  2  32.982498  33.002502  1
650000.000000  1  2  32.967400  33.002998  1
700000.000000  2  2  32.976898  33.016098  1
750000.000000  2  2  32.992599  32.980499  1
800000.000000  2  2  32.969002  32.977402  1
850000.000000  2  2  33.007797  32.986694  1
900000.000000  2  2  33.007004  32.997101  1
950000.000000  2  2  32.967697  32.966797  1
1000000.000000  2  2  32.971298  33.011703  1
1050000.000000  2  2  33.009201  33.003098  1
1100000.000000  2  2  33.004196  33.021500  1
1150000.000000  2  2  33.000900  32.995804  1
1200000.000000  2  2  33.010399  33.013702  1
1250000.000000  2  2  32.989700  33.028099  1
1300000.000000  2  2  33.040199  33.040298  1
1350000.000000  2  2  32.964600  33.007004  1
1400000.000000  2  2  32.978806  33.023399  1
1450000.000000  2  2  32.961502  33.014404  1
1500000.000000  2  2  32.983200  33.030197  1
1550000.000000  2  2  32.976105  33.023201  1
1600000.000000  2  2  32.998199  32.968399  1
1650000.000000  2  2  32.971199  32.996704  1
1700000.000000  2  2  33.018295  32.971603  1
1750000.000000  2  2  32.998703  32.962097  1
1800000.000000  2  2  32.982399  32.960205  1
1850000.000000  2  2  32.989502  32.990501  1
1900000.000000  2  2  33.018997  33.019897  1
1950000.000000  2  2  33.008202  32.954895  1
2000000.000000  2  2  32.983002  33.003700  1
2050000.000000  2  2  32.984802  33.039902  1
2100000.000000  2  2  32.954605  32.961304  1
2150000.000000  2  2  33.027100  33.049698  1
2200000.000000  2  2  33.030304  32.981995  1
2250000.000000  2  2  33.034897  33.029701  1
2300000.000000  2  2  32.927704  33.016602  1
2350000.000000  2  2  32.955597  32.944595  1
2400000.000000  2  1  32.944901  33.024597  1
2450000.000000  2  2  33.032394  33.003502  1
2500000.000000  2  2  33.057800  32.973999  1
2550000.000000  2  2  33.036201  33.036804  1
2600000.000000  2  2  33.007004  32.973999  1
2650000.000000  2  2  33.030304  33.021500  1
2700000.000000  2  2  32.998901  32.984802  1
2750000.000000  2  2  33.006699  32.988297  1
2800000.000000  2  2  32.976700  32.971802  1
2850000.000000  2  2  32.973999  32.984406  1
2900000.000000  2  2  33.003899  32.985397  1
2950000.000000  2  2  32.964005  32.949699  1
3000000.000000  2  2  33.029999  32.996101  1
3050000.000000  2  2  33.001297  33.011795  1
3100000.000000  2  2  33.007599  32.986099  1
3150000.000000  2  2  32.986603  32.974197  1
3200000.000000  2  2  33.022598  33.017700  1
3250000.000000  1  2  32.985901  32.995605  1
3300000.000000  2  2  32.974899  32.985703  1
3350000.000000  2  2  33.045898  33.000198  1
3400000.000000  2  2  32.978401  32.923401  1
3450000.000000  2  2  32.990402  32.987701  1
3500000.000000  2  2  32.984299  33.016205  1
3550000.000000  2  2  33.000000  32.993301  1
3600000.000000  1  1  32.999298  32.967697  1
3650000.000000  2  2  32.988495  33.018906  1
3700000.000000  2  2  32.973900  32.981094  1
3750000.000000  2  2  32.989395  32.998398  1
3800000.000000  2  2  32.965500  32.966904  1
3850000.000000  2  2  32.969696  33.000504  1
3900000.000000  2  2  33.031403  32.984497  1
3950000.000000  2  2  33.019798  32.983101  1
4000000.000000  2  2  32.963104  33.013100  1
4050000.000000  2  2  33.015999  33.014297  1
4100000.000000  2  2  32.948700  33.000000  1
4150000.000000  2  2  33.035995  33.015999  1
4200000.000000  2  2  32.969299  32.980301  1
4250000.000000  2  2  32.990097  33.027802  1
4300000.000000  2  2  32.981903  33.044899  1
4350000.000000  2  2  32.989197  32.958199  1
4400000.000000  2  2  33.044899  33.027000  1
4450000.000000  2  2  32.992096  33.012100  1
4500000.000000  2  2  33.012695  32.978104  1
4550000.000000  2  2  33.018799  32.960701  1
4600000.000000  2  2  32.956200  32.986496  1
4650000.000000  2  2  32.995804  32.986801  1
4700000.000000  2  2  32.979401  32.955902  1
4750000.000000  2  2  33.035599  33.025299  1
4800000.000000  2  2  33.037003  32.982803  1
4850000.000000  2  2  32.944901  33.031700  1
4900000.000000  2  2  32.936905  33.017799  1
4950000.000000  2  2  33.017899  32.967300  1
5000000.000000  2  2  32.983299  32.956802  1
5050000.000000  2  2  32.970100  33.007706  1
5100000.000000  2  1  32.991196  32.973206  1
5150000.000000  2  2  32.962799  32.962799  1
5200000.000000  2  2  33.004799  32.991501  1
5250000.000000  2  2  32.982605  33.005905  1
5300000.000000  2  2  32.944901  33.021103  1
5350000.000000  2  2  32.954498  33.016602  1
5400000.000000  2  2  32.960098  32.987999  1
5450000.000000  2  2  32.993805  32.972000  1
5500000.000000  2  1  32.973602  32.995201  1
5550000.000000  2  2  32.989700  32.969803  1
5600000.000000  2  2  33.008301  32.981003  1
5650000.000000  2  2  32.954399  33.013397  1
5700000.000000  2  2  32.934204  32.958900  1
5750000.000000  2  2  32.976395  32.992004  1
5800000.000000  2  2  32.966499  33.002502  1
5850000.000000  2  2  32.994095  32.951797  1
5900000.000000  2  2  32.943901  33.049194  1
5950000.000000  2  1  32.937897  33.010101  1
6000000.000000  2  2  32.970200  32.956902  1
6050000.000000  2  2  33.010895  32.916801  1
6100000.000000  1  1  32.999298  33.019600  1
6150000.000000  1  2  32.993195  33.024796  1
6200000.000000  2  1  32.974701  32.966400  1
6250000.000000  2  2  33.001205  32.936501  1
6300000.000000  1  2  32.990402  32.962997  1
6350000.000000  2  2  33.019196  33.004799  1
6400000.000000  2  2  32.987099  32.963196  1
6450000.000000  2  2  33.011299  32.986900  1
6500000.000000  1  2  33.011795  33.003700  1
6550000.000000  2  2  33.021194  32.971199  1
6600000.000000  2  2  33.014297  32.995895  1
6650000.000000  1  1  32.979401  32.992401  1
6700000.000000  1  0  32.991798  32.967804  1
6750000.000000  2  2  32.966301  32.934700  1
6800000.000000  1  2  32.991104  32.985199  1
6850000.000000  2  2  33.028305  33.008698  1
6900000.000000  2  2  33.013000  32.997002  1
6950000.000000  2  2  32.984901  32.975700  1
7000000.000000  1  1  32.990997  33.004700  1
7050000.000000  2  1  32.967896  33.002998  1
7100000.000000  2  2  32.996902  32.943901  1
7150000.000000  2  2  33.044601  32.987396  1
7200000.000000  2  2  33.005295  32.954697  1
