# time cluster_size count
1400000.000000 213 1
1400000.000000 296 1
1450000.000000 1 41
1450000.000000 2 9
1450000.000000 3 3
1450000.000000 4 1
1450000.000000 5 1
1450000.000000 24 1
1450000.000000 214 1
1450000.000000 285 1
1500000.000000 1 40
1500000.000000 2 8
1500000.000000 3 4
1500000.000000 4 1
1500000.000000 7 1
1500000.000000 213 1
1500000.000000 308 1
1550000.000000 1 35
1550000.000000 2 7
1550000.000000 3 4
1550000.000000 4 2
1550000.000000 531 1
1600000.000000 1 38
1600000.000000 2 9
1600000.000000 3 3
1600000.000000 4 1
1600000.000000 531 1
1650000.000000 1 48
1650000.000000 2 7
1650000.000000 3 2
1650000.000000 4 1
1650000.000000 528 1
1700000.000000 1 43
1700000.000000 2 10
1700000.000000 3 1
1700000.000000 5 1
1700000.000000 209 1
1700000.000000 320 1
1750000.000000 1 44
1750000.000000 2 4
1750000.000000 3 2
1750000.000000 4 1
1750000.000000 214 1
1750000.000000 324 1
1800000.000000 1 35
1800000.000000 2 4
1800000.000000 3 3
1800000.000000 4 1
1800000.000000 5 1
1800000.000000 6 1
1800000.000000 8 1
1800000.000000 525 1
1850000.000000 1 49
1850000.000000 2 4
1850000.000000 3 2
1850000.000000 4 3
1850000.000000 5 1
1850000.000000 520 1
1900000.000000 1 36
1900000.000000 2 10
1900000.000000 3 2
1900000.000000 6 1
1900000.000000 224 1
1900000.000000 308 1
1950000.000000 1 47
1950000.000000 2 6
1950000.000000 3 1
1950000.000000 5 1
1950000.000000 12 1
1950000.000000 521 1
2000000.000000 1 36
2000000.000000 2 11
2000000.000000 3 4
2000000.000000 12 1
2000000.000000 225 1
2000000.000000 293 1
2050000.000000 1 51
2050000.000000 2 8
2050000.000000 11 1
2050000.000000 227 1
2050000.000000 295 1
2100000.000000 1 39
2100000.000000 2 5
2100000.000000 3 4
2100000.000000 232 1
2100000.000000 307 1
2150000.000000 1 32
2150000.000000 2 5
2150000.000000 3 3
2150000.000000 4 2
2150000.000000 5 1
2150000.000000 232 1
2150000.000000 304 1
2200000.000000 1 36
2200000.000000 2 8
2200000.000000 3 4
2200000.000000 235 1
2200000.000000 301 1
2250000.000000 1 42
2250000.000000 2 10
2250000.000000 3 3
2250000.000000 5 1
2250000.000000 231 1
2250000.000000 293 1
2300000.000000 1 41
2300000.000000 2 8
2300000.000000 3 2
2300000.000000 4 1
2300000.000000 234 1
2300000.000000 299 1
2350000.000000 1 45
2350000.000000 2 8
2350000.000000 3 1
2350000.000000 5 1
2350000.000000 236 1
2350000.000000 295 1
2400000.000000 1 47
2400000.000000 2 8
2400000.000000 3 2
2400000.000000 531 1
2450000.000000 1 49
2450000.000000 2 4
2450000.000000 3 3
2450000.000000 231 1
2450000.000000 303 1
2500000.000000 1 42
2500000.000000 2 10
2500000.000000 3 2
2500000.000000 235 1
2500000.000000 297 1
2550000.000000 1 40
2550000.000000 2 10
2550000.000000 3 5
2550000.000000 234 1
2550000.000000 291 1
2600000.000000 1 49
2600000.000000 2 6
2600000.000000 3 3
2600000.000000 4 1
2600000.000000 234 1
2600000.000000 292 1
2650000.000000 1 57
2650000.000000 2 9
2650000.000000 3 2
2650000.000000 4 1
2650000.000000 228 1
2650000.000000 287 1
2700000.000000 1 49
2700000.000000 2 8
2700000.000000 3 5
2700000.000000 231 1
2700000.000000 289 1
2750000.000000 1 51
2750000.000000 2 10
2750000.000000 3 2
2750000.000000 4 1
2750000.000000 231 1
2750000.000000 288 1
2800000.000000 1 56
2800000.000000 2 8
2800000.000000 3 2
2800000.000000 4 1
2800000.000000 231 1
2800000.000000 287 1
2850000.000000 1 39
2850000.000000 2 5
2850000.000000 3 5
2850000.000000 4 2
2850000.000000 5 1
2850000.000000 237 1
2850000.000000 286 1
2900000.000000 1 44
2900000.000000 2 6
2900000.000000 3 3
2900000.000000 4 2
2900000.000000 5 1
2900000.000000 235 1
2900000.000000 287 1
2950000.000000 1 46
2950000.000000 2 7
2950000.000000 3 1
2950000.000000 4 2
2950000.000000 238 1
2950000.000000 291 1
3000000.000000 1 42
3000000.000000 2 7
3000000.000000 3 3
3000000.000000 5 1
3000000.000000 7 1
3000000.000000 237 1
3000000.000000 286 1
3050000.000000 1 41
3050000.000000 2 6
3050000.000000 3 3
3050000.000000 4 3
3050000.000000 6 1
3050000.000000 235 1
3050000.000000 285 1
3100000.000000 1 38
3100000.000000 2 10
3100000.000000 3 2
3100000.000000 5 1
3100000.000000 6 1
3100000.000000 236 1
3100000.000000 289 1
3150000.000000 1 47
3150000.000000 2 5
3150000.000000 3 4
3150000.000000 4 3
3150000.000000 8 1
3150000.000000 227 1
3150000.000000 284 1
3200000.000000 1 44
3200000.000000 2 5
3200000.000000 3 3
3200000.000000 4 3
3200000.000000 9 1
3200000.000000 231 1
3200000.000000 285 1
3250000.000000 1 59
3250000.000000 2 6
3250000.000000 3 1
3250000.000000 4 1
3250000.000000 10 1
3250000.000000 231 1
3250000.000000 281 1
3300000.000000 1 46
3300000.000000 2 7
3300000.000000 3 7
3300000.000000 9 1
3300000.000000 227 1
3300000.000000 283 1
3350000.000000 1 43
3350000.000000 2 6
3350000.000000 3 2
3350000.000000 4 3
3350000.000000 7 1
3350000.000000 231 1
3350000.000000 289 1
3400000.000000 1 53
3400000.000000 2 5
3400000.000000 4 3
3400000.000000 7 1
3400000.000000 518 1
3450000.000000 1 44
3450000.000000 2 5
3450000.000000 3 2
3450000.000000 5 2
3450000.000000 530 1
3500000.000000 1 32
3500000.000000 2 11
3500000.000000 3 4
3500000.000000 5 1
3500000.000000 7 1
3500000.000000 102 1
3500000.000000 133 1
3500000.000000 287 1
3550000.000000 1 40
3550000.000000 2 8
3550000.000000 3 6
3550000.000000 4 2
3550000.000000 233 1
3550000.000000 285 1
3600000.000000 1 41
3600000.000000 2 6
3600000.000000 3 3
3600000.000000 4 1
3600000.000000 6 1
3600000.000000 7 1
3600000.000000 236 1
3600000.000000 285 1
3650000.000000 1 44
3650000.000000 2 8
3650000.000000 3 1
3650000.000000 4 1
3650000.000000 5 2
3650000.000000 233 1
3650000.000000 290 1
3700000.000000 1 57
3700000.000000 2 6
3700000.000000 3 2
3700000.000000 4 2
3700000.000000 230 1
3700000.000000 287 1
3750000.000000 1 46
3750000.000000 2 14
3750000.000000 3 2
3750000.000000 4 1
3750000.000000 231 1
3750000.000000 285 1
3800000.000000 1 39
3800000.000000 2 13
3800000.000000 3 3
3800000.000000 4 1
3800000.000000 6 1
3800000.000000 233 1
3800000.000000 283 1
3850000.000000 1 44
3850000.000000 2 7
3850000.000000 3 6
3850000.000000 5 1
3850000.000000 235 1
3850000.000000 284 1
3900000.000000 1 40
3900000.000000 2 7
3900000.000000 3 2
3900000.000000 4 2
3900000.000000 5 1
3900000.000000 232 1
3900000.000000 295 1
3950000.000000 1 43
3950000.000000 2 9
3950000.000000 3 4
3950000.000000 4 1
3950000.000000 232 1
3950000.000000 291 1
4000000.000000 1 49
4000000.000000 2 3
4000000.000000 3 4
4000000.000000 240 1
4000000.000000 293 1
4050000.000000 1 43
4050000.000000 2 13
4050000.000000 239 1
4050000.000000 292 1
4100000.000000 1 41
4100000.000000 2 9
4100000.000000 3 3
4100000.000000 4 1
4100000.000000 235 1
4100000.000000 293 1
4150000.000000 1 46
4150000.000000 2 9
4150000.000000 3 3
4150000.000000 4 1
4150000.000000 5 1
4150000.000000 235 1
4150000.000000 283 1
4200000.000000 1 43
4200000.000000 2 9
4200000.000000 3 3
4200000.000000 4 1
4200000.000000 239 1
4200000.000000 287 1
4250000.000000 1 41
4250000.000000 2 10
4250000.000000 3 4
4250000.000000 4 1
4250000.000000 239 1
4250000.000000 284 1
4300000.000000 1 47
4300000.000000 2 10
4300000.000000 3 1
4300000.000000 243 1
4300000.000000 287 1
4350000.000000 1 48
4350000.000000 2 6
4350000.000000 3 2
4350000.000000 14 1
4350000.000000 233 1
4350000.000000 287 1
4400000.000000 1 42
4400000.000000 2 11
4400000.000000 3 1
4400000.000000 247 1
4400000.000000 286 1
4450000.000000 1 36
4450000.000000 2 9
4450000.000000 3 4
4450000.000000 4 2
4450000.000000 245 1
4450000.000000 281 1
4500000.000000 1 53
4500000.000000 2 5
4500000.000000 3 2
4500000.000000 4 1
4500000.000000 5 1
4500000.000000 243 1
4500000.000000 279 1
4550000.000000 1 50
4550000.000000 2 6
4550000.000000 3 2
4550000.000000 4 1
4550000.000000 6 1
4550000.000000 245 1
4550000.000000 277 1
4600000.000000 1 41
4600000.000000 2 11
4600000.000000 3 1
4600000.000000 4 2
4600000.000000 5 1
4600000.000000 244 1
4600000.000000 277 1
4650000.000000 1 41
4650000.000000 2 12
4650000.000000 3 2
4650000.000000 4 2
4650000.000000 238 1
4650000.000000 283 1
4700000.000000 1 43
4700000.000000 2 9
4700000.000000 3 2
4700000.000000 4 2
4700000.000000 247 1
4700000.000000 278 1
4750000.000000 1 43
4750000.000000 2 11
4750000.000000 3 3
4750000.000000 247 1
4750000.000000 279 1
4800000.000000 1 31
4800000.000000 2 8
4800000.000000 3 3
4800000.000000 5 2
4800000.000000 251 1
4800000.000000 283 1
4850000.000000 1 39
4850000.000000 2 14
4850000.000000 3 2
4850000.000000 247 1
4850000.000000 280 1
4900000.000000 1 52
4900000.000000 2 7
4900000.000000 3 1
4900000.000000 246 1
4900000.000000 285 1
4950000.000000 1 51
4950000.000000 2 4
4950000.000000 3 2
4950000.000000 4 1
4950000.000000 245 1
4950000.000000 286 1
5000000.000000 1 45
5000000.000000 2 6
5000000.000000 3 4
5000000.000000 4 1
5000000.000000 5 1
5000000.000000 236 1
5000000.000000 286 1
5050000.000000 1 38
5050000.000000 2 13
