# time cluster_size count
150000.000000 1 2
150000.000000 648 1
200000.000000 1 4
200000.000000 2 1
200000.000000 644 1
250000.000000 1 4
250000.000000 646 1
300000.000000 1 8
300000.000000 2 1
300000.000000 640 1
350000.000000 1 6
350000.000000 644 1
400000.000000 1 4
400000.000000 2 3
400000.000000 3 1
400000.000000 637 1
450000.000000 1 7
450000.000000 3 2
450000.000000 637 1
500000.000000 1 4
500000.000000 3 1
500000.000000 643 1
550000.000000 1 2
550000.000000 648 1
600000.000000 1 5
600000.000000 645 1
650000.000000 1 5
650000.000000 645 1
700000.000000 1 7
700000.000000 2 1
700000.000000 641 1
750000.000000 1 6
750000.000000 644 1
800000.000000 1 5
800000.000000 645 1
850000.000000 1 4
850000.000000 646 1
900000.000000 1 3
900000.000000 2 1
900000.000000 645 1
950000.000000 1 5
950000.000000 3 1
950000.000000 642 1
1000000.000000 1 7
1000000.000000 2 2
1000000.000000 3 1
1000000.000000 636 1
1050000.000000 1 1
1050000.000000 649 1
1100000.000000 1 6
1100000.000000 644 1
1150000.000000 1 6
1150000.000000 2 2
1150000.000000 640 1
1200000.000000 1 8
1200000.000000 2 1
1200000.000000 640 1
1250000.000000 1 7
1250000.000000 643 1
1300000.000000 1 4
1300000.000000 646 1
1350000.000000 1 7
1350000.000000 2 1
1350000.000000 641 1
1400000.000000 1 6
1400000.000000 644 1
1450000.000000 1 4
1450000.000000 646 1
1500000.000000 1 3
1500000.000000 3 1
1500000.000000 644 1
1550000.000000 1 5
1550000.000000 2 2
1550000.000000 3 1
1550000.000000 638 1
1600000.000000 1 8
1600000.000000 2 3
1600000.000000 636 1
1650000.000000 1 4
1650000.000000 2 1
1650000.000000 4 1
1650000.000000 640 1
1700000.000000 1 6
1700000.000000 2 2
1700000.000000 640 1
1750000.000000 1 4
1750000.000000 2 2
1750000.000000 642 1
1800000.000000 1 6
1800000.000000 2 1
1800000.000000 3 1
1800000.000000 639 1
1850000.000000 1 5
1850000.000000 2 2
1850000.000000 641 1
1900000.000000 1 4
1900000.000000 2 3
1900000.000000 640 1
1950000.000000 1 9
1950000.000000 641 1
2000000.000000 1 7
2000000.000000 643 1
2050000.000000 1 4
2050000.000000 646 1
2100000.000000 1 9
2100000.000000 641 1
2150000.000000 1 3
2150000.000000 2 1
2150000.000000 645 1
2200000.000000 1 7
2200000.000000 2 1
2200000.000000 641 1
2250000.000000 1 10
2250000.000000 640 1
2300000.000000 1 3
2300000.000000 647 1
2350000.000000 1 5
2350000.000000 2 1
2350000.000000 4 1
2350000.000000 639 1
2400000.000000 1 3
2400000.000000 647 1
2450000.000000 1 2
2450000.000000 2 2
2450000.000000 644 1
2500000.000000 1 5
2500000.000000 2 1
2500000.000000 3 1
2500000.000000 640 1
2550000.000000 1 9
2550000.000000 2 2
2550000.000000 637 1
2600000.000000 1 8
2600000.000000 642 1
2650000.000000 1 10
2650000.000000 640 1
2700000.000000 1 7
2700000.000000 643 1
2750000.000000 1 3
2750000.000000 647 1
2800000.000000 1 5
2800000.000000 645 1
2850000.000000 1 8
2850000.000000 2 1
2850000.000000 640 1
2900000.000000 1 1
2900000.000000 649 1
2950000.000000 1 4
2950000.000000 646 1
3000000.000000 1 8
3000000.000000 642 1
3050000.000000 1 9
3050000.000000 641 1
3100000.000000 1 6
3100000.000000 2 1
3100000.000000 642 1
3150000.000000 1 11
3150000.000000 639 1
3200000.000000 1 5
3200000.000000 645 1
3250000.000000 1 6
3250000.000000 644 1
3300000.000000 1 8
3300000.000000 2 1
3300000.000000 4 1
3300000.000000 636 1
3350000.000000 1 6
3350000.000000 644 1
3400000.000000 1 5
3400000.000000 2 1
3400000.000000 643 1
3450000.000000 1 5
3450000.000000 645 1
3500000.000000 1 4
3500000.000000 2 1
3500000.000000 644 1
3550000.000000 1 4
3550000.000000 2 1
3550000.000000 644 1
3600000.000000 1 3
3600000.000000 647 1
3650000.000000 1 6
3650000.000000 2 4
3650000.000000 4 2
3650000.000000 628 1
3700000.000000 1 6
3700000.000000 5 1
3700000.000000 639 1
3750000.000000 1 3
3750000.000000 5 1
3750000.000000 642 1
3800000.000000 1 5
3800000.000000 3 1
3800000.000000 642 1
3850000.000000 1 4
3850000.000000 2 1
3850000.000000 3 1
3850000.000000 641 1
3900000.000000 1 5
3900000.000000 645 1
3950000.000000 1 6
3950000.000000 3 1
3950000.000000 641 1
4000000.000000 1 5
4000000.000000 2 1
4000000.000000 643 1
4050000.000000 1 4
4050000.000000 646 1
4100000.000000 1 9
4100000.000000 641 1
4150000.000000 1 3
4150000.000000 2 1
4150000.000000 645 1
4200000.000000 1 6
4200000.000000 644 1
4250000.000000 1 9
4250000.000000 641 1
4300000.000000 1 7
4300000.000000 2 1
4300000.000000 641 1
4350000.000000 1 9
4350000.000000 641 1
4400000.000000 1 5
4400000.000000 2 1
4400000.000000 643 1
4450000.000000 1 3
4450000.000000 2 1
4450000.000000 3 1
4450000.000000 642 1
4500000.000000 1 4
4500000.000000 2 1
4500000.000000 7 1
4500000.000000 637 1
4550000.000000 1 8
4550000.000000 2 2
4550000.000000 638 1
4600000.000000 1 8
4600000.000000 2 2
4600000.000000 3 1
4600000.000000 635 1
4650000.000000 1 4
4650000.000000 3 1
4650000.000000 643 1
4700000.000000 1 6
4700000.000000 2 1
4700000.000000 642 1
4750000.000000 1 5
4750000.000000 2 1
4750000.000000 643 1
4800000.000000 1 5
4800000.000000 645 1
4850000.000000 1 12
4850000.000000 2 1
4850000.000000 3 1
4850000.000000 633 1
4900000.000000 1 2
4900000.000000 2 1
4900000.000000 3 1
4900000.000000 643 1
4950000.000000 1 2
4950000.000000 2 1
4950000.000000 646 1
5000000.000000 1 2
5000000.000000 648 1
5050000.000000 1 6
5050000.000000 2 2
5050000.000000 640 1
5100000.000000 1 5
5100000.000000 2 1
5100000.000000 643 1
5150000.000000 1 3
5150000.000000 647 1
5200000.000000 1 4
5200000.000000 2 3
5200000.000000 640 1
5250000.000000 1 6
5250000.000000 2 1
5250000.000000 642 1
5300000.000000 1 3
5300000.000000 2 1
5300000.000000 645 1
5350000.000000 1 5
5350000.000000 645 1
5400000.000000 1 4
5400000.000000 2 2
5400000.000000 642 1
5450000.000000 1 6
5450000.000000 2 1
5450000.000000 642 1
5500000.000000 1 4
5500000.000000 646 1
5550000.000000 1 8
5550000.000000 642 1
5600000.000000 1 8
5600000.000000 642 1
5650000.000000 1 10
5650000.000000 640 1
5700000.000000 1 8
5700000.000000 3 1
5700000.000000 639 1
5750000.000000 1 6
5750000.000000 6 1
5750000.000000 638 1
5800000.000000 1 9
5800000.000000 2 2
5800000.000000 3 1
5800000.000000 634 1
5850000.000000 1 11
5850000.000000 639 1
5900000.000000 1 3
5900000.000000 647 1
5950000.000000 1 5
5950000.000000 3 1
5950000.000000 642 1
6000000.000000 1 9
6000000.000000 2 3
6000000.000000 635 1
6050000.000000 1 4
6050000.000000 2 1
6050000.000000 3 1
6050000.000000 641 1
6100000.000000 1 6
6100000.000000 2 1
6100000.000000 642 1
6150000.000000 1 10
6150000.000000 2 1
6150000.000000 638 1
6200000.000000 1 4
6200000.000000 646 1
6250000.000000 1 4
6250000.000000 2 1
6250000.000000 3 1
6250000.000000 5 1
6250000.000000 636 1
6300000.000000 1 5
6300000.000000 645 1
6350000.000000 1 7
6350000.000000 643 1
6400000.000000 1 2
6400000.000000 3 1
6400000.000000 645 1
6450000.000000 1 8
6450000.000000 2 1
6450000.000000 640 1
6500000.000000 1 6
6500000.000000 2 1
6500000.000000 642 1
6550000.000000 1 4
6550000.000000 2 1
6550000.000000 644 1
6600000.000000 1 7
6600000.000000 2 1
6600000.000000 641 1
6650000.000000 1 11
6650000.000000 639 1
6700000.000000 1 6
6700000.000000 2 1
6700000.000000 4 1
6700000.000000 638 1
6750000.000000 1 9
6750000.000000 3 1
6750000.000000 638 1
6800000.000000 1 4
6800000.000000 646 1
6850000.000000 1 10
6850000.000000 3 1
6850000.000000 637 1
6900000.000000 1 1
6900000.000000 649 1
6950000.000000 1 8
6950000.000000 642 1
7000000.000000 1 6
7000000.000000 2 1
7000000.000000 642 1
7050000.000000 1 3
7050000.000000 2 1
7050000.000000 645 1
7100000.000000 1 3
7100000.000000 2 2
7100000.000000 643 1
7150000.000000 1 9
7150000.000000 641 1
7200000.000000 1 10
7200000.000000 2 2
7200000.000000 636 1
7250000.000000 1 5
7250000.000000 2 2
7250000.000000 3 1
7250000.000000 638 1
7300000.000000 1 3
7300000.000000 647 1
7350000.000000 1 4
7350000.000000 646 1
7400000.000000 1 6
7400000.000000 644 1
7450000.000000 1 12
7450000.000000 2 3
7450000.000000 632 1
7500000.000000 1 6
7500000.000000 2 1
7500000.000000 642 1
7550000.000000 1 4
7550000.000000 2 3
7550000.000000 640 1
7600000.000000 1 8
7600000.000000 2 1
7600000.000000 640 1
7650000.000000 1 10
7650000.000000 5 1
7650000.000000 635 1
7700000.000000 1 11
7700000.000000 2 1
7700000.000000 637 1
7750000.000000 1 5
7750000.000000 2 1
7750000.000000 643 1
7800000.000000 1 3
7800000.000000 3 2
7800000.000000 641 1
7850000.000000 1 10
7850000.000000 640 1
7900000.000000 1 9
7900000.000000 641 1
7950000.000000 1 2
7950000.000000 648 1
8000000.000000 1 6
8000000.000000 2 1
8000000.000000 3 1
8000000.000000 639 1
8050000.000000 1 13
8050000.000000 2 1
8050000.000000 635 1
8100000.000000 1 4
8100000.000000 646 1
8150000.000000 1 3
8150000.000000 647 1
8200000.000000 1 10
8200000.000000 2 2
8200000.000000 636 1
8250000.000000 1 6
8250000.000000 2 1
8250000.000000 642 1
8300000.000000 1 6
8300000.000000 2 1
8300000.000000 3 1
8300000.000000 639 1
8350000.000000 1 8
8350000.000000 2 1
8350000.000000 640 1
8400000.000000 1 4
8400000.000000 2 1
8400000.000000 644 1
8450000.000000 1 8
8450000.000000 2 1
8450000.000000 640 1
8500000.000000 1 4
8500000.000000 4 1
8500000.000000 642 1
8550000.000000 1 9
8550000.000000 2 1
8550000.000000 639 1
8600000.000000 1 4
8600000.000000 646 1
8650000.000000 1 4
8650000.000000 646 1
8700000.000000 1 4
8700000.000000 2 1
8700000.000000 644 1
8750000.000000 1 4
8750000.000000 646 1
8800000.000000 1 9
8800000.000000 641 1
8850000.000000 1 9
8850000.000000 2 2
8850000.000000 637 1
8900000.000000 1 9
8900000.000000 641 1
8950000.000000 1 2
8950000.000000 2 4
8950000.000000 640 1
9000000.000000 1 5
9000000.000000 645 1
9050000.000000 1 5
9050000.000000 645 1
9100000.000000 1 3
9100000.000000 647 1
9150000.000000 1 2
9150000.000000 648 1
9200000.000000 1 12
9200000.000000 2 2
9200000.000000 634 1
9250000.000000 1 2
9250000.000000 2 2
9250000.000000 3 1
9250000.000000 641 1
9300000.000000 1 7
9300000.000000 643 1
9350000.000000 1 6
9350000.000000 644 1
9400000.000000 1 8
9400000.000000 2 3
9400000.000000 4 1
9400000.000000 632 1
9450000.000000 1 3
9450000.000000 2 1
9450000.000000 645 1
9500000.000000 1 5
9500000.000000 645 1
9550000.000000 1 5
9550000.000000 2 2
9550000.000000 641 1
9600000.000000 1 5
9600000.000000 2 1
9600000.000000 643 1
9650000.000000 1 5
9650000.000000 2 1
9650000.000000 643 1
9700000.000000 1 7
9700000.000000 643 1
9750000.000000 1 4
9750000.000000 646 1
9800000.000000 1 5
9800000.000000 2 1
9800000.000000 3 1
9800000.000000 640 1
9850000.000000 1 2
9850000.000000 2 1
9850000.000000 3 1
9850000.000000 643 1
9900000.000000 1 5
9900000.000000 2 2
9900000.000000 641 1
9950000.000000 1 2
9950000.000000 2 1
9950000.000000 3 1
9950000.000000 643 1
10000000.000000 1 4
10000000.000000 646 1
10050000.000000 1 1
10050000.000000 3 1
10050000.000000 646 1
10100000.000000 1 4
10100000.000000 2 1
10100000.000000 644 1
10150000.000000 1 10
10150000.000000 3 1
10150000.000000 4 1
10150000.000000 633 1
10200000.000000 1 4
10200000.000000 2 1
10200000.000000 4 1
10200000.000000 640 1
10250000.000000 1 4
10250000.000000 2 1
10250000.000000 644 1
10300000.000000 1 4
10300000.000000 2 1
10300000.000000 644 1
10350000.000000 1 5
10350000.000000 2 1
10350000.000000 643 1
10400000.000000 1 9
10400000.000000 2 1
10400000.000000 639 1
10450000.000000 1 8
10450000.000000 2 1
10450000.000000 640 1
10500000.000000 1 8
10500000.000000 2 1
10500000.000000 640 1
10550000.000000 1 7
10550000.000000 643 1
10600000.000000 1 5
10600000.000000 2 1
10600000.000000 643 1
10650000.000000 1 7
10650000.000000 2 1
10650000.000000 641 1
10700000.000000 1 12
10700000.000000 7 1
10700000.000000 631 1
10750000.000000 1 8
10750000.000000 2 1
10750000.000000 640 1
10800000.000000 1 10
10800000.000000 2 2
10800000.000000 636 1
10850000.000000 1 7
10850000.000000 2 2
10850000.000000 639 1
10900000.000000 1 4
10900000.000000 646 1
10950000.000000 1 1
10950000.000000 3 1
10950000.000000 646 1
11000000.000000 1 8
11000000.000000 2 1
11000000.000000 640 1
11050000.000000 1 8
11050000.000000 2 1
11050000.000000 640 1
11100000.000000 1 8
11100000.000000 2 2
11100000.000000 638 1
11150000.000000 1 9
11150000.000000 2 1
11150000.000000 639 1
11200000.000000 1 7
11200000.000000 2 1
11200000.000000 641 1
11250000.000000 1 6
11250000.000000 644 1
11300000.000000 1 9
11300000.000000 2 1
11300000.000000 639 1
11350000.000000 1 5
11350000.000000 645 1
11400000.000000 1 5
11400000.000000 645 1
11450000.000000 1 7
11450000.000000 643 1
11500000.000000 1 3
11500000.000000 2 2
11500000.000000 643 1
11550000.000000 1 9
11550000.000000 2 3
11550000.000000 3 1
11550000.000000 632 1
11600000.000000 1 10
11600000.000000 2 1
11600000.000000 638 1
11650000.000000 1 4
11650000.000000 646 1
11700000.000000 1 7
11700000.000000 4 1
11700000.000000 639 1
11750000.000000 1 10
11750000.000000 640 1
11800000.000000 1 4
