Frame,Num_Receptors,Receptors_in_Cluster,Total_Receptors,Fraction_Receptors
0,50,29,50,0.58
1,50,8,50,0.16
2,50,2,50,0.04
3,50,2,50,0.04
4,50,1,50,0.02
5,50,1,50,0.02
6,50,2,50,0.04
7,50,0,50,0.0
8,50,1,50,0.02
9,50,1,50,0.02
10,50,0,50,0.0
11,50,2,50,0.04
12,50,2,50,0.04
13,50,1,50,0.02
14,50,0,50,0.0
15,50,2,50,0.04
16,50,3,50,0.06
17,50,3,50,0.06
18,50,0,50,0.0
19,50,4,50,0.08
20,50,1,50,0.02
21,50,2,50,0.04
22,50,1,50,0.02
23,50,0,50,0.0
24,50,2,50,0.04
25,50,3,50,0.06
26,50,0,50,0.0
27,50,0,50,0.0
28,50,1,50,0.02
29,50,4,50,0.08
30,50,1,50,0.02
31,50,0,50,0.0
32,50,0,50,0.0
33,50,1,50,0.02
34,50,2,50,0.04
35,50,3,50,0.06
36,50,1,50,0.02
37,50,0,50,0.0
38,50,1,50,0.02
39,50,1,50,0.02
40,50,1,50,0.02
41,50,3,50,0.06
42,50,0,50,0.0
43,50,0,50,0.0
44,50,0,50,0.0
45,50,2,50,0.04
46,50,1,50,0.02
47,50,0,50,0.0
48,50,1,50,0.02
49,50,1,50,0.02
50,50,1,50,0.02
51,50,0,50,0.0
52,50,2,50,0.04
53,50,0,50,0.0
54,50,0,50,0.0
55,50,1,50,0.02
56,50,1,50,0.02
57,50,2,50,0.04
58,50,0,50,0.0
59,50,2,50,0.04
60,50,3,50,0.06
61,50,0,50,0.0
62,50,1,50,0.02
63,50,2,50,0.04
64,50,1,50,0.02
65,50,0,50,0.0
66,50,1,50,0.02
67,50,1,50,0.02
68,50,0,50,0.0
69,50,2,50,0.04
70,50,2,50,0.04
71,50,0,50,0.0
72,50,3,50,0.06
73,50,2,50,0.04
74,50,3,50,0.06
75,50,1,50,0.02
76,50,1,50,0.02
77,50,2,50,0.04
78,50,0,50,0.0
79,50,1,50,0.02
80,50,0,50,0.0
81,50,2,50,0.04
82,50,0,50,0.0
83,50,1,50,0.02
84,50,3,50,0.06
85,50,0,50,0.0
86,50,2,50,0.04
87,50,1,50,0.02
88,50,0,50,0.0
89,50,1,50,0.02
90,50,1,50,0.02
91,50,2,50,0.04
92,50,1,50,0.02
