Frame,LargestClusterSize,Fraction
0,16175,0.9953846153846154
1,16200,0.9969230769230769
2,16125,0.9923076923076923
3,16225,0.9984615384615385
4,16200,0.9969230769230769
5,16125,0.9923076923076923
6,16200,0.9969230769230769
7,16175,0.9953846153846154
8,16175,0.9953846153846154
9,16150,0.9938461538461538
10,16150,0.9938461538461538
11,16100,0.9907692307692307
12,16125,0.9923076923076923
13,16200,0.9969230769230769
14,16125,0.9923076923076923
15,16175,0.9953846153846154
16,16075,0.9892307692307692
17,16175,0.9953846153846154
18,16150,0.9938461538461538
19,16200,0.9969230769230769
20,16150,0.9938461538461538
21,16175,0.9953846153846154
22,16250,1.0
23,16150,0.9938461538461538
24,16150,0.9938461538461538
25,16175,0.9953846153846154
26,16200,0.9969230769230769
27,16175,0.9953846153846154
28,16075,0.9892307692307692
29,16125,0.9923076923076923
30,16150,0.9938461538461538
31,16225,0.9984615384615385
32,16200,0.9969230769230769
33,16125,0.9923076923076923
34,16225,0.9984615384615385
35,16150,0.9938461538461538
36,16225,0.9984615384615385
37,16200,0.9969230769230769
38,16225,0.9984615384615385
39,16150,0.9938461538461538
40,16200,0.9969230769230769
41,16150,0.9938461538461538
42,16125,0.9923076923076923
43,16200,0.9969230769230769
44,16225,0.9984615384615385
45,16175,0.9953846153846154
46,16200,0.9969230769230769
47,16125,0.9923076923076923
48,16225,0.9984615384615385
49,15975,0.9830769230769231
50,16200,0.9969230769230769
51,16125,0.9923076923076923
52,16100,0.9907692307692307
53,16175,0.9953846153846154
54,16250,1.0
55,15950,0.9815384615384616
56,16250,1.0
57,16100,0.9907692307692307
58,16150,0.9938461538461538
59,16150,0.9938461538461538
60,16200,0.9969230769230769
61,16175,0.9953846153846154
62,16175,0.9953846153846154
63,16175,0.9953846153846154
64,16225,0.9984615384615385
65,16125,0.9923076923076923
66,16175,0.9953846153846154
67,16125,0.9923076923076923
68,16175,0.9953846153846154
69,16075,0.9892307692307692
70,16225,0.9984615384615385
71,16175,0.9953846153846154
72,16125,0.9923076923076923
73,16175,0.9953846153846154
74,16175,0.9953846153846154
75,16175,0.9953846153846154
76,16200,0.9969230769230769
77,16175,0.9953846153846154
78,16025,0.9861538461538462
79,16250,1.0
80,16150,0.9938461538461538
81,16125,0.9923076923076923
82,16125,0.9923076923076923
83,16225,0.9984615384615385
84,15975,0.9830769230769231
85,16150,0.9938461538461538
86,16175,0.9953846153846154
87,16225,0.9984615384615385
88,16200,0.9969230769230769
89,16200,0.9969230769230769
90,16150,0.9938461538461538
91,16225,0.9984615384615385
92,16100,0.9907692307692307
93,16250,1.0
94,16125,0.9923076923076923
95,16200,0.9969230769230769
96,16150,0.9938461538461538
97,16100,0.9907692307692307
98,16175,0.9953846153846154
99,16200,0.9969230769230769
100,16100,0.9907692307692307
101,16250,1.0
102,16175,0.9953846153846154
103,16100,0.9907692307692307
104,16175,0.9953846153846154
105,16200,0.9969230769230769
106,16150,0.9938461538461538
107,16075,0.9892307692307692
108,16200,0.9969230769230769
109,16125,0.9923076923076923
110,16075,0.9892307692307692
111,16125,0.9923076923076923
112,16225,0.9984615384615385
113,16200,0.9969230769230769
114,16225,0.9984615384615385
115,16125,0.9923076923076923
116,16150,0.9938461538461538
117,16100,0.9907692307692307
118,16175,0.9953846153846154
119,16125,0.9923076923076923
120,16200,0.9969230769230769
121,16175,0.9953846153846154
122,16200,0.9969230769230769
123,16250,1.0
124,16200,0.9969230769230769
125,16225,0.9984615384615385
126,16250,1.0
127,16200,0.9969230769230769
128,16125,0.9923076923076923
129,16200,0.9969230769230769
130,16125,0.9923076923076923
131,16225,0.9984615384615385
132,16125,0.9923076923076923
133,16175,0.9953846153846154
134,16225,0.9984615384615385
135,16150,0.9938461538461538
136,16175,0.9953846153846154
137,16125,0.9923076923076923
138,16125,0.9923076923076923
139,16175,0.9953846153846154
140,16225,0.9984615384615385
141,16100,0.9907692307692307
142,16200,0.9969230769230769
143,16150,0.9938461538461538
144,16150,0.9938461538461538
145,16250,1.0
146,16175,0.9953846153846154
147,16175,0.9953846153846154
148,16150,0.9938461538461538
149,16050,0.9876923076923076
150,16125,0.9923076923076923
151,16200,0.9969230769230769
152,16175,0.9953846153846154
153,16075,0.9892307692307692
154,16225,0.9984615384615385
155,16175,0.9953846153846154
156,16050,0.9876923076923076
157,16150,0.9938461538461538
158,16100,0.9907692307692307
159,16150,0.9938461538461538
160,16125,0.9923076923076923
161,16200,0.9969230769230769
162,16125,0.9923076923076923
163,16175,0.9953846153846154
164,16075,0.9892307692307692
165,16125,0.9923076923076923
166,16175,0.9953846153846154
167,16225,0.9984615384615385
168,16150,0.9938461538461538
169,16150,0.9938461538461538
170,16200,0.9969230769230769
171,16175,0.9953846153846154
172,16075,0.9892307692307692
173,16225,0.9984615384615385
174,16125,0.9923076923076923
175,16150,0.9938461538461538
176,16225,0.9984615384615385
177,16250,1.0
178,16125,0.9923076923076923
179,16150,0.9938461538461538
180,16200,0.9969230769230769
181,16200,0.9969230769230769
182,16150,0.9938461538461538
183,16225,0.9984615384615385
184,16000,0.9846153846153847
185,16200,0.9969230769230769
186,16125,0.9923076923076923
187,16225,0.9984615384615385
188,16200,0.9969230769230769
189,16200,0.9969230769230769
190,16075,0.9892307692307692
191,16125,0.9923076923076923
192,16175,0.9953846153846154
193,16250,1.0
194,16075,0.9892307692307692
195,16125,0.9923076923076923
196,16075,0.9892307692307692
197,16150,0.9938461538461538
198,16175,0.9953846153846154
199,16250,1.0
200,16100,0.9907692307692307
201,16075,0.9892307692307692
202,16200,0.9969230769230769
203,16150,0.9938461538461538
204,16200,0.9969230769230769
205,16200,0.9969230769230769
206,16200,0.9969230769230769
207,16200,0.9969230769230769
208,16175,0.9953846153846154
209,16200,0.9969230769230769
210,16100,0.9907692307692307
211,16175,0.9953846153846154
212,16225,0.9984615384615385
213,16225,0.9984615384615385
214,16125,0.9923076923076923
215,16225,0.9984615384615385
216,16225,0.9984615384615385
217,16200,0.9969230769230769
218,16225,0.9984615384615385
219,16200,0.9969230769230769
220,16025,0.9861538461538462
221,16250,1.0
222,16225,0.9984615384615385
223,16125,0.9923076923076923
224,16150,0.9938461538461538
225,16225,0.9984615384615385
226,16225,0.9984615384615385
227,16150,0.9938461538461538
228,16175,0.9953846153846154
229,16200,0.9969230769230769
230,16175,0.9953846153846154
231,16000,0.9846153846153847
232,16125,0.9923076923076923
233,16175,0.9953846153846154
234,16175,0.9953846153846154
235,16175,0.9953846153846154
236,16150,0.9938461538461538
237,16200,0.9969230769230769
238,16175,0.9953846153846154
239,16025,0.9861538461538462
240,16250,1.0
241,16125,0.9923076923076923
242,16125,0.9923076923076923
243,16200,0.9969230769230769
244,16150,0.9938461538461538
245,16200,0.9969230769230769
246,16225,0.9984615384615385
247,16200,0.9969230769230769
248,16175,0.9953846153846154
249,16200,0.9969230769230769
250,16225,0.9984615384615385
251,16175,0.9953846153846154
252,16100,0.9907692307692307
253,16075,0.9892307692307692
254,16225,0.9984615384615385
255,16050,0.9876923076923076
256,16100,0.9907692307692307
257,16175,0.9953846153846154
258,16125,0.9923076923076923
259,16175,0.9953846153846154
260,16175,0.9953846153846154
261,16100,0.9907692307692307
262,16200,0.9969230769230769
263,16125,0.9923076923076923
264,16200,0.9969230769230769
265,16125,0.9923076923076923
266,16200,0.9969230769230769
267,16150,0.9938461538461538
268,16200,0.9969230769230769
269,16200,0.9969230769230769
270,16075,0.9892307692307692
271,16100,0.9907692307692307
272,16200,0.9969230769230769
273,16225,0.9984615384615385
274,16125,0.9923076923076923
275,16175,0.9953846153846154
276,16175,0.9953846153846154
277,16125,0.9923076923076923
278,16200,0.9969230769230769
279,16200,0.9969230769230769
280,16150,0.9938461538461538
281,16200,0.9969230769230769
282,16125,0.9923076923076923
283,16050,0.9876923076923076
284,16150,0.9938461538461538
285,16200,0.9969230769230769
286,16200,0.9969230769230769
287,16175,0.9953846153846154
288,16200,0.9969230769230769
289,16150,0.9938461538461538
290,16225,0.9984615384615385
291,16150,0.9938461538461538
292,16225,0.9984615384615385
293,16175,0.9953846153846154
294,16125,0.9923076923076923
295,16200,0.9969230769230769
296,16150,0.9938461538461538
297,16200,0.9969230769230769
298,16150,0.9938461538461538
299,16100,0.9907692307692307
300,16100,0.9907692307692307
301,16075,0.9892307692307692
302,16200,0.9969230769230769
303,16075,0.9892307692307692
304,16175,0.9953846153846154
305,16225,0.9984615384615385
306,16175,0.9953846153846154
307,16200,0.9969230769230769
308,16125,0.9923076923076923
309,16225,0.9984615384615385
310,16175,0.9953846153846154
311,16200,0.9969230769230769
312,16200,0.9969230769230769
313,16175,0.9953846153846154
314,16125,0.9923076923076923
315,16200,0.9969230769230769
316,16175,0.9953846153846154
317,16125,0.9923076923076923
318,16175,0.9953846153846154
319,16075,0.9892307692307692
320,16225,0.9984615384615385
321,16150,0.9938461538461538
322,16175,0.9953846153846154
323,16150,0.9938461538461538
324,16050,0.9876923076923076
325,16225,0.9984615384615385
326,16150,0.9938461538461538
327,16200,0.9969230769230769
328,16200,0.9969230769230769
329,16075,0.9892307692307692
330,16200,0.9969230769230769
331,16175,0.9953846153846154
332,16175,0.9953846153846154
333,16175,0.9953846153846154
334,16225,0.9984615384615385
335,16100,0.9907692307692307
336,16100,0.9907692307692307
337,16200,0.9969230769230769
338,16200,0.9969230769230769
339,16225,0.9984615384615385
340,16200,0.9969230769230769
341,16075,0.9892307692307692
342,15975,0.9830769230769231
343,16175,0.9953846153846154
344,16150,0.9938461538461538
345,16225,0.9984615384615385
346,16100,0.9907692307692307
347,16200,0.9969230769230769
348,16200,0.9969230769230769
349,16175,0.9953846153846154
350,16200,0.9969230769230769
351,16200,0.9969230769230769
352,16075,0.9892307692307692
353,16100,0.9907692307692307
354,16150,0.9938461538461538
355,16175,0.9953846153846154
356,16250,1.0
357,16125,0.9923076923076923
358,16125,0.9923076923076923
359,16175,0.9953846153846154
360,16225,0.9984615384615385
361,16250,1.0
362,16175,0.9953846153846154
363,16025,0.9861538461538462
364,16200,0.9969230769230769
365,16175,0.9953846153846154
366,16200,0.9969230769230769
367,16250,1.0
368,16175,0.9953846153846154
369,16150,0.9938461538461538
370,16250,1.0
371,16175,0.9953846153846154
372,16150,0.9938461538461538
373,16100,0.9907692307692307
374,16125,0.9923076923076923
375,16200,0.9969230769230769
376,16175,0.9953846153846154
377,16200,0.9969230769230769
378,16200,0.9969230769230769
379,16050,0.9876923076923076
380,16225,0.9984615384615385
381,16200,0.9969230769230769
382,16225,0.9984615384615385
383,16225,0.9984615384615385
384,16250,1.0
385,16175,0.9953846153846154
386,16075,0.9892307692307692
387,16175,0.9953846153846154
388,16200,0.9969230769230769
389,16150,0.9938461538461538
390,16175,0.9953846153846154
391,16225,0.9984615384615385
392,16200,0.9969230769230769
393,16225,0.9984615384615385
394,16100,0.9907692307692307
395,16150,0.9938461538461538
396,16150,0.9938461538461538
397,16050,0.9876923076923076
398,16050,0.9876923076923076
